tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-05-01,60,0,24,28,10,60,PM10,SEDANG,DKI1
2010-05-02,58,16,19,31,13,58,PM10,SEDANG,DKI1
2010-05-03,60,16,29,73,18,73,O3,SEDANG,DKI1
2010-05-04,53,13,27,31,16,53,PM10,SEDANG,DKI1
2010-05-05,53,16,26,35,15,53,PM10,SEDANG,DKI1
2010-05-06,53,19,25,21,11,53,PM10,SEDANG,DKI1
2010-05-07,67,19,33,33,16,67,PM10,SEDANG,DKI1
2010-05-08,57,16,24,26,9,57,PM10,SEDANG,DKI1
2010-05-09,0,16,28,51,16,51,O3,SEDANG,DKI1
2010-05-10,0,14,43,75,26,75,O3,SEDANG,DKI1
2010-05-11,0,14,42,60,24,60,O3,SEDANG,DKI1
2010-05-12,61,12,50,32,19,61,PM10,SEDANG,DKI1
2010-05-13,52,15,40,65,21,65,O3,SEDANG,DKI1
2010-05-14,59,12,46,69,26,69,O3,SEDANG,DKI1
2010-05-15,52,14,45,92,26,92,O3,SEDANG,DKI1
2010-05-16,56,12,29,65,15,65,O3,SEDANG,DKI1
2010-05-17,55,15,55,32,16,55,PM10,SEDANG,DKI1
2010-05-18,57,17,45,50,25,57,PM10,SEDANG,DKI1
2010-05-19,69,14,39,79,18,79,O3,SEDANG,DKI1
2010-05-20,58,14,38,57,21,58,PM10,SEDANG,DKI1
2010-05-21,53,14,37,60,18,60,O3,SEDANG,DKI1
2010-05-22,63,16,50,54,21,63,PM10,SEDANG,DKI1
2010-05-23,57,14,28,50,23,57,PM10,SEDANG,DKI1
2010-05-24,54,15,37,42,21,54,PM10,SEDANG,DKI1
2010-05-25,56,18,34,43,18,56,PM10,SEDANG,DKI1
2010-05-26,55,15,41,123,34,123,O3,TIDAK SEHAT,DKI1
2010-05-27,58,17,50,113,29,113,O3,TIDAK SEHAT,DKI1
2010-05-28,68,21,49,24,25,68,PM10,SEDANG,DKI1
2010-05-29,54,16,30,28,14,54,PM10,SEDANG,DKI1
2010-05-30,59,14,41,64,16,64,O3,SEDANG,DKI1
2010-05-31,56,16,33,25,15,56,PM10,SEDANG,DKI1
