tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-12-01,58,17,26,80,12,80,O3,SEDANG,DKI3
2010-12-02,63,21,30,80,14,80,O3,SEDANG,DKI3
2010-12-03,68,31,34,82,14,82,O3,SEDANG,DKI3
2010-12-04,74,24,32,46,18,74,PM10,SEDANG,DKI4
2010-12-05,60,15,38,30,8,60,PM10,SEDANG,DKI4
2010-12-06,55,14,24,34,13,55,PM10,SEDANG,DKI4
2010-12-07,54,14,23,30,7,54,PM10,SEDANG,DKI4
2010-12-08,61,14,19,32,9,61,PM10,SEDANG,DKI4
2010-12-09,56,14,23,58,14,58,O3,SEDANG,DKI3
2010-12-10,63,16,23,50,9,63,PM10,SEDANG,DKI4
2010-12-11,54,13,20,38,12,54,PM10,SEDANG,DKI4
2010-12-12,56,13,21,43,15,56,PM10,SEDANG,DKI4
2010-12-13,67,16,22,83,15,83,O3,SEDANG,DKI3
2010-12-14,82,20,32,56,17,82,PM10,SEDANG,DKI4
2010-12-15,58,19,34,119,19,119,O3,TIDAK SEHAT,DKI3
2010-12-16,41,19,27,44,15,44,O3,BAIK,DKI3
2010-12-17,38,20,20,36,9,38,PM10,BAIK,DKI1
2010-12-18,34,15,27,33,11,34,PM10,BAIK,DKI3
2010-12-19,49,13,19,32,10,49,PM10,BAIK,DKI3
2010-12-20,51,17,26,33,11,51,PM10,SEDANG,DKI3
2010-12-21,40,16,27,32,12,40,PM10,BAIK,DKI3
2010-12-22,55,14,34,33,13,55,PM10,SEDANG,DKI4
2010-12-23,59,20,41,38,13,59,PM10,SEDANG,DKI4
2010-12-24,62,19,32,241,23,241,O3,SANGAT TIDAK SEHAT,DKI3
2010-12-25,65,28,27,80,15,80,O3,SEDANG,DKI3
2010-12-26,65,18,23,52,12,65,PM10,SEDANG,DKI3
2010-12-27,38,19,22,54,14,54,O3,SEDANG,DKI3
2010-12-28,45,15,23,57,17,57,O3,SEDANG,DKI4
2010-12-29,42,16,25,40,14,42,PM10,BAIK,DKI3
2010-12-30,38,18,24,40,15,40,O3,BAIK,DKI3
2010-12-31,33,19,21,34,15,34,O3,BAIK,DKI2
