tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-01-01,52,18,39,63,7,63,4,O3,SEDANG,DKI2
2012-01-02,49,22,28,55,11,55,4,O3,SEDANG,DKI2
2012-01-03,65,15,42,86,22,86,4,O3,SEDANG,DKI1
2012-01-04,69,20,55,97,20,97,4,O3,SEDANG,DKI1
2012-01-05,67,14,39,157,25,157,4,O3,TIDAK SEHAT,DKI2
2012-01-06,52,28,47,68,11,68,4,O3,SEDANG,DKI2
2012-01-07,61,20,54,73,13,73,4,O3,SEDANG,DKI2
2012-01-08,48,15,48,90,13,90,4,O3,SEDANG,DKI2
2012-01-09,60,16,63,72,21,72,4,O3,SEDANG,DKI1
2012-01-10,39,16,29,69,13,69,4,O3,SEDANG,DKI2
2012-01-11,42,16,31,75,14,75,4,O3,SEDANG,DKI2
2012-01-12,42,20,37,52,13,52,4,O3,SEDANG,DKI2
2012-01-13,40,19,27,55,13,55,4,O3,SEDANG,DKI2
2012-01-14,34,19,34,54,7,54,4,O3,SEDANG,DKI1
2012-01-15,39,18,20,89,10,89,4,O3,SEDANG,DKI2
2012-01-16,50,18,30,86,16,86,4,O3,SEDANG,DKI2
2012-01-17,65,30,33,94,23,94,4,O3,SEDANG,DKI2
2012-01-18,60,45,38,98,19,98,4,O3,SEDANG,DKI2
2012-01-19,60,22,43,65,16,65,4,O3,SEDANG,DKI2
2012-01-20,60,17,33,73,12,73,4,O3,SEDANG,DKI2
2012-01-21,57,25,29,90,21,90,4,O3,SEDANG,DKI1
2012-01-22,71,21,99,95,14,99,3,CO,SEDANG,DKI4
2012-01-23,44,17,15,78,10,78,4,O3,SEDANG,DKI2
2012-01-24,55,26,24,48,11,55,1,PM10,SEDANG,DKI4
2012-01-25,48,22,24,62,15,62,4,O3,SEDANG,DKI1
2012-01-26,54,23,30,81,11,81,4,O3,SEDANG,DKI2
2012-01-27,51,20,26,96,14,96,4,O3,SEDANG,DKI2
2012-01-28,44,24,26,85,17,85,4,O3,SEDANG,DKI1
2012-01-29,33,15,15,75,9,75,4,O3,SEDANG,DKI2
2012-01-30,40,21,29,130,10,130,4,O3,TIDAK SEHAT,DKI2
2012-01-31,31,18,29,61,12,61,4,O3,SEDANG,DKI2
