tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-02-01,81.0,44.0,68.0,105.0,21.0,105.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-02,54.0,52.0,34.0,74.0,17.0,74.0,4.0,O3,SEDANG,DKI1
2012-02-03,55.0,31.0,44.0,59.0,14.0,59.0,4.0,O3,SEDANG,DKI1
2012-02-04,59.0,29.0,41.0,57.0,12.0,59.0,1.0,PM10,SEDANG,DKI1
2012-02-05,61.0,23.0,53.0,90.0,22.0,90.0,4.0,O3,SEDANG,DKI2
2012-02-06,61.0,26.0,34.0,70.0,13.0,70.0,4.0,O3,SEDANG,DKI2
2012-02-07,55.0,22.0,34.0,72.0,17.0,72.0,4.0,O3,SEDANG,DKI1
2012-02-08,78.0,13.0,29.0,72.0,14.0,78.0,1.0,PM10,SEDANG,DKI4
2012-02-09,50.0,12.0,37.0,78.0,13.0,78.0,4.0,O3,SEDANG,DKI1
2012-02-10,49.0,13.0,25.0,112.0,13.0,112.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-11,64.0,17.0,46.0,134.0,13.0,134.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-12,40.0,11.0,20.0,91.0,12.0,91.0,4.0,O3,SEDANG,DKI2
2012-02-13,40.0,11.0,37.0,171.0,24.0,171.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-14,80.0,17.0,53.0,100.0,24.0,100.0,4.0,O3,SEDANG,DKI2
2012-02-15,60.0,16.0,42.0,157.0,23.0,157.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-16,84.0,16.0,34.0,93.0,25.0,93.0,4.0,O3,SEDANG,DKI2
2012-02-17,123.0,44.0,41.0,154.0,26.0,154.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-18,57.0,24.0,28.0,100.0,17.0,100.0,4.0,O3,SEDANG,DKI3
2012-02-19,62.0,24.0,28.0,123.0,17.0,123.0,4.0,O3,TIDAK SEHAT,DKI3
2012-02-20,59.0,52.0,36.0,83.0,25.0,83.0,4.0,O3,SEDANG,DKI4
2012-02-21,68.0,41.0,47.0,175.0,22.0,175.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-22,66.0,31.0,39.0,168.0,13.0,168.0,4.0,O3,TIDAK SEHAT,DKI3
2012-02-23,61.0,23.0,31.0,147.0,13.0,147.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-24,73.0,26.0,32.0,151.0,19.0,151.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-25,66.0,26.0,51.0,160.0,19.0,160.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-26,60.0,18.0,22.0,162.0,15.0,162.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-27,50.0,33.0,45.0,114.0,16.0,114.0,4.0,O3,TIDAK SEHAT,DKI2
2012-02-28,77.0,53.0,48.0,232.0,22.0,232.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-02-29,81.0,51.0,39.0,170.0,18.0,170.0,4.0,O3,TIDAK SEHAT,DKI2
,,,,,,,,,,
,,,,,,,,,,
