tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-03-01,73,56,51,137,15,137,4,O3,TIDAK SEHAT,DKI2
2012-03-02,56,38,38,136,16,136,4,O3,TIDAK SEHAT,DKI2
2012-03-03,56,25,51,76,17,76,4,O3,SEDANG,DKI1
2012-03-04,47,20,21,94,6,94,4,O3,SEDANG,DKI2
2012-03-05,52,25,30,140,13,140,4,O3,TIDAK SEHAT,DKI2
2012-03-06,47,51,37,90,14,90,4,O3,SEDANG,DKI4
2012-03-07,74,36,30,99,18,99,4,O3,SEDANG,DKI2
2012-03-08,36,14,29,95,13,95,4,O3,SEDANG,DKI2
2012-03-09,38,13,27,88,12,88,4,O3,SEDANG,DKI2
2012-03-10,50,14,41,115,17,115,4,O3,TIDAK SEHAT,DKI2
2012-03-11,43,12,23,100,17,100,4,O3,SEDANG,DKI2
2012-03-12,52,13,23,177,11,177,4,O3,TIDAK SEHAT,DKI2
2012-03-13,61,12,27,96,14,96,4,O3,SEDANG,DKI2
2012-03-14,53,13,30,143,13,143,4,O3,TIDAK SEHAT,DKI2
2012-03-15,51,23,30,78,15,78,4,O3,SEDANG,DKI2
2012-03-16,49,20,29,131,13,131,4,O3,TIDAK SEHAT,DKI2
2012-03-17,53,29,30,90,15,90,4,O3,SEDANG,DKI2
2012-03-18,51,20,19,99,11,99,4,O3,SEDANG,DKI2
2012-03-19,47,27,23,92,11,92,4,O3,SEDANG,DKI2
2012-03-20,37,17,23,36,7,37,1,PM10,BAIK,DKI4
2012-03-21,38,17,17,42,5,42,4,O3,BAIK,DKI1
2012-03-22,49,17,19,48,5,49,1,PM10,BAIK,DKI4
2012-03-23,59,17,19,35,7,59,1,PM10,SEDANG,DKI4
2012-03-24,59,17,17,122,9,122,4,O3,TIDAK SEHAT,DKI2
2012-03-25,97,18,18,125,11,125,4,O3,TIDAK SEHAT,DKI2
2012-03-26,80,34,32,98,17,98,4,O3,SEDANG,DKI2
2012-03-27,87,38,45,136,29,136,4,O3,TIDAK SEHAT,DKI2
2012-03-28,84,25,54,95,18,95,4,O3,SEDANG,DKI2
2012-03-29,60,28,32,142,14,142,4,O3,TIDAK SEHAT,DKI2
2012-03-30,48,31,35,112,22,112,4,O3,TIDAK SEHAT,DKI2
2012-03-31,60,28,29,204,31,204,4,O3,SANGAT TIDAK SEHAT,DKI2
