tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-05-01,59,28,46,100,17,100,4,O3,SEDANG,DKI2
2012-05-02,76,20,44,236,20,236,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-05-03,73,21,41,226,20,226,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-05-04,72,21,24,226,17,226,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-05-05,108,32,31,116,16,116,4,O3,TIDAK SEHAT,DKI2
2012-05-06,83,21,31,180,15,180,4,O3,TIDAK SEHAT,DKI2
2012-05-07,74,22,34,147,15,147,4,O3,TIDAK SEHAT,DKI2
2012-05-08,79,33,72,115,25,115,4,O3,TIDAK SEHAT,DKI2
2012-05-09,76,27,53,164,31,164,4,O3,TIDAK SEHAT,DKI2
2012-05-10,81,25,38,170,25,170,4,O3,TIDAK SEHAT,DKI2
2012-05-11,66,25,38,173,26,173,4,O3,TIDAK SEHAT,DKI2
2012-05-12,70,27,33,164,17,164,4,O3,TIDAK SEHAT,DKI2
2012-05-13,82,40,27,207,15,207,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-05-14,59,31,30,144,15,144,4,O3,TIDAK SEHAT,DKI2
2012-05-15,68,27,37,164,19,164,4,O3,TIDAK SEHAT,DKI2
2012-05-16,88,28,32,196,17,196,4,O3,TIDAK SEHAT,DKI2
2012-05-17,73,25,43,178,23,178,4,O3,TIDAK SEHAT,DKI2
2012-05-18,81,25,24,165,19,165,4,O3,TIDAK SEHAT,DKI2
2012-05-19,89,23,32,146,20,146,4,O3,TIDAK SEHAT,DKI2
2012-05-20,92,24,18,213,9,213,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-05-21,72,23,34,164,23,164,4,O3,TIDAK SEHAT,DKI2
2012-05-22,64,23,31,165,24,165,4,O3,TIDAK SEHAT,DKI2
2012-05-23,108,28,33,140,28,140,4,O3,TIDAK SEHAT,DKI2
2012-05-24,67,27,33,89,19,89,4,O3,SEDANG,DKI2
2012-05-25,67,26,34,89,23,89,4,O3,SEDANG,DKI3
2012-05-26,81,25,28,72,14,81,1,PM10,SEDANG,DKI2
2012-05-27,86,25,21,59,15,86,1,PM10,SEDANG,DKI4
2012-05-28,83,26,30,164,16,164,4,O3,TIDAK SEHAT,DKI2
2012-05-29,91,22,38,187,17,187,4,O3,TIDAK SEHAT,DKI2
2012-05-30,80,27,32,89,17,89,4,O3,SEDANG,DKI3
2012-05-31,139,32,40,76,19,139,1,PM10,TIDAK SEHAT,DKI4
