tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-06-01,97.0,32.0,70.0,107.0,28.0,107.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-02,86.0,31.0,44.0,140.0,25.0,140.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-03,94.0,31.0,30.0,129.0,23.0,129.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-04,82.0,31.0,30.0,93.0,18.0,93.0,4.0,O3,SEDANG,DKI2
2012-06-05,74.0,24.0,38.0,169.0,18.0,169.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-06,79.0,31.0,35.0,201.0,18.0,201.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-06-07,58.0,26.0,36.0,137.0,19.0,137.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-08,72.0,36.0,37.0,141.0,16.0,141.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-09,66.0,22.0,38.0,215.0,24.0,215.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-06-10,71.0,26.0,36.0,208.0,20.0,208.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-06-11,96.0,21.0,53.0,204.0,34.0,204.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-06-12,84.0,30.0,46.0,168.0,22.0,168.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-13,121.0,34.0,34.0,138.0,19.0,138.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-14,91.0,28.0,35.0,155.0,20.0,155.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-15,83.0,28.0,37.0,216.0,23.0,216.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-06-16,94.0,34.0,37.0,209.0,22.0,209.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-06-17,85.0,25.0,22.0,93.0,16.0,93.0,4.0,O3,SEDANG,DKI3
2012-06-18,95.0,25.0,20.0,69.0,11.0,95.0,1.0,PM10,SEDANG,DKI4
2012-06-19,92.0,32.0,19.0,87.0,20.0,92.0,1.0,PM10,SEDANG,DKI4
2012-06-20,95.0,35.0,25.0,85.0,17.0,95.0,1.0,PM10,SEDANG,DKI4
2012-06-21,120.0,30.0,34.0,107.0,23.0,120.0,1.0,PM10,TIDAK SEHAT,DKI4
2012-06-22,96.0,24.0,31.0,123.0,14.0,123.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-23,94.0,31.0,28.0,96.0,12.0,96.0,4.0,O3,SEDANG,DKI2
2012-06-24,105.0,24.0,27.0,187.0,16.0,187.0,4.0,O3,TIDAK SEHAT,DKI2
2012-06-25,79.0,27.0,28.0,80.0,14.0,80.0,4.0,O3,SEDANG,DKI3
2012-06-26,72.0,27.0,23.0,72.0,15.0,72.0,1.0,PM10,SEDANG,DKI4
2012-06-27,80.0,30.0,30.0,98.0,29.0,98.0,4.0,O3,SEDANG,DKI2
2012-06-28,113.0,31.0,35.0,135.0,28.0,135.0,4.0,O3,TIDAK SEHAT,DKI3
2012-06-29,107.0,34.0,32.0,115.0,26.0,115.0,4.0,O3,TIDAK SEHAT,DKI3
2012-06-30,98.0,29.0,29.0,87.0,16.0,98.0,1.0,PM10,SEDANG,DKI4
,,,,,,,,,,
