tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-07-01,88,25,19,81,17,88,1,PM10,SEDANG,DKI4
2012-07-02,134,28,30,80,19,134,1,PM10,TIDAK SEHAT,DKI4
2012-07-03,106,31,33,72,17,106,1,PM10,TIDAK SEHAT,DKI4
2012-07-04,85,26,40,98,23,98,4,O3,SEDANG,DKI3
2012-07-05,86,29,36,82,22,86,1,PM10,SEDANG,DKI4
2012-07-06,97,30,35,77,19,97,1,PM10,SEDANG,DKI4
2012-07-07,127,20,23,101,18,127,1,PM10,TIDAK SEHAT,DKI4
2012-07-08,140,19,34,112,17,140,1,PM10,TIDAK SEHAT,DKI4
2012-07-09,114,18,43,125,33,125,4,O3,TIDAK SEHAT,DKI3
2012-07-10,116,23,37,119,25,119,4,O3,TIDAK SEHAT,DKI3
2012-07-11,105,27,33,88,27,105,1,PM10,TIDAK SEHAT,DKI4
2012-07-12,86,31,33,131,20,131,4,O3,TIDAK SEHAT,DKI2
2012-07-13,106,27,44,130,30,130,4,O3,TIDAK SEHAT,DKI4
2012-07-14,107,25,41,147,29,147,4,O3,TIDAK SEHAT,DKI1
2012-07-15,145,28,36,84,21,145,1,PM10,TIDAK SEHAT,DKI4
2012-07-16,118,27,37,92,28,118,1,PM10,TIDAK SEHAT,DKI4
2012-07-17,72,23,32,126,25,126,4,O3,TIDAK SEHAT,DKI2
2012-07-18,76,21,32,128,30,128,4,O3,TIDAK SEHAT,DKI2
2012-07-19,110,33,53,113,28,113,4,O3,TIDAK SEHAT,DKI3
2012-07-20,77,28,35,77,18,77,1,PM10,SEDANG,DKI1
2012-07-21,73,24,28,113,19,113,4,O3,TIDAK SEHAT,DKI3
2012-07-22,120,17,19,87,16,120,1,PM10,TIDAK SEHAT,DKI4
2012-07-23,106,26,38,151,28,151,4,O3,TIDAK SEHAT,DKI4
2012-07-24,125,28,36,141,29,141,4,O3,TIDAK SEHAT,DKI3
2012-07-25,107,29,34,290,25,290,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-07-26,138,30,35,283,32,283,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-07-27,114,40,37,276,29,276,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-07-28,148,28,36,288,26,288,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-07-29,150,22,24,234,16,234,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-07-30,107,21,33,215,20,215,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-07-31,107,24,36,221,21,221,4,O3,SANGAT TIDAK SEHAT,DKI2
