tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-08-01,123,27,36,236,25,236,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-08-02,103,33,40,244,35,244,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-08-03,81,25,37,216,20,216,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-08-04,101,26,27,72,15,101,1,PM10,TIDAK SEHAT,DKI4
2012-08-05,139,25,16,73,15,139,1,PM10,TIDAK SEHAT,DKI4
2012-08-06,136,26,38,106,19,136,1,PM10,TIDAK SEHAT,DKI4
2012-08-07,97,23,36,146,25,146,4,O3,TIDAK SEHAT,DKI3
2012-08-08,83,25,34,125,24,125,4,O3,TIDAK SEHAT,DKI3
2012-08-09,171,31,32,71,26,171,1,PM10,TIDAK SEHAT,DKI4
2012-08-10,140,33,31,61,22,140,1,PM10,TIDAK SEHAT,DKI4
2012-08-11,114,32,22,97,17,114,1,PM10,TIDAK SEHAT,DKI4
2012-08-12,121,27,22,86,26,121,1,PM10,TIDAK SEHAT,DKI4
2012-08-13,132,25,37,95,20,132,1,PM10,TIDAK SEHAT,DKI4
2012-08-14,97,22,33,82,24,97,1,PM10,SEDANG,DKI4
2012-08-15,94,23,29,68,22,94,1,PM10,SEDANG,DKI4
2012-08-16,99,27,24,73,16,99,1,PM10,SEDANG,DKI4
2012-08-17,98,23,20,78,15,98,1,PM10,SEDANG,DKI4
2012-08-18,166,22,25,82,15,166,1,PM10,TIDAK SEHAT,DKI4
2012-08-19,109,21,27,73,11,109,1,PM10,TIDAK SEHAT,DKI4
2012-08-20,65,19,10,78,14,78,4,O3,SEDANG,DKI3
2012-08-21,72,23,25,78,11,78,4,O3,SEDANG,DKI3
2012-08-22,75,21,13,88,16,88,4,O3,SEDANG,DKI1
2012-08-23,85,22,18,125,13,125,4,O3,TIDAK SEHAT,DKI3
2012-08-24,89,29,16,99,15,99,4,O3,SEDANG,DKI3
2012-08-25,73,23,14,104,16,104,4,O3,TIDAK SEHAT,DKI3
2012-08-26,95,24,17,91,11,95,1,PM10,SEDANG,DKI4
2012-08-27,78,23,30,94,21,94,4,O3,SEDANG,DKI4
2012-08-28,128,45,33,115,20,128,1,PM10,TIDAK SEHAT,DKI4
2012-08-29,77,22,33,103,23,103,4,O3,TIDAK SEHAT,DKI3
2012-08-30,149,27,30,83,20,149,1,PM10,TIDAK SEHAT,DKI4
2012-08-31,106,28,27,90,18,106,1,PM10,TIDAK SEHAT,DKI4
