tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-09-01,77.0,31.0,25.0,99.0,19.0,99.0,4.0,O3,SEDANG,DKI3
2012-09-02,128.0,40.0,25.0,127.0,20.0,128.0,1.0,PM10,TIDAK SEHAT,DKI4
2012-09-03,77.0,26.0,32.0,97.0,20.0,97.0,4.0,O3,SEDANG,DKI3
2012-09-04,82.0,33.0,29.0,89.0,22.0,89.0,4.0,O3,SEDANG,DKI3
2012-09-05,71.0,29.0,33.0,112.0,26.0,112.0,4.0,O3,TIDAK SEHAT,DKI2
2012-09-06,84.0,27.0,31.0,124.0,20.0,124.0,4.0,O3,TIDAK SEHAT,DKI2
2012-09-07,78.0,26.0,31.0,109.0,21.0,109.0,4.0,O3,TIDAK SEHAT,DKI3
2012-09-08,74.0,25.0,27.0,65.0,19.0,74.0,1.0,PM10,SEDANG,DKI1
2012-09-09,71.0,24.0,18.0,96.0,21.0,96.0,4.0,O3,SEDANG,DKI1
2012-09-10,71.0,23.0,35.0,122.0,20.0,122.0,4.0,O3,TIDAK SEHAT,DKI3
2012-09-11,78.0,27.0,34.0,175.0,26.0,175.0,4.0,O3,TIDAK SEHAT,DKI3
2012-09-12,82.0,31.0,49.0,167.0,21.0,167.0,4.0,O3,TIDAK SEHAT,DKI3
2012-09-13,70.0,30.0,29.0,79.0,27.0,79.0,4.0,O3,SEDANG,DKI3
2012-09-14,84.0,37.0,28.0,144.0,25.0,144.0,4.0,O3,TIDAK SEHAT,DKI3
2012-09-15,131.0,54.0,27.0,218.0,29.0,218.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-16,111.0,15.0,25.0,219.0,23.0,219.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-17,178.0,20.0,38.0,224.0,19.0,224.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-18,100.0,22.0,36.0,244.0,20.0,244.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-19,101.0,33.0,34.0,89.0,18.0,101.0,1.0,PM10,TIDAK SEHAT,DKI4
2012-09-20,71.0,24.0,31.0,216.0,15.0,216.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-21,79.0,27.0,34.0,258.0,27.0,258.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-22,110.0,31.0,45.0,193.0,20.0,193.0,4.0,O3,TIDAK SEHAT,DKI2
2012-09-23,102.0,22.0,21.0,176.0,17.0,176.0,4.0,O3,TIDAK SEHAT,DKI2
2012-09-24,81.0,26.0,34.0,245.0,20.0,245.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-25,77.0,26.0,37.0,238.0,20.0,238.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-26,86.0,31.0,35.0,221.0,23.0,221.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-27,65.0,26.0,32.0,222.0,25.0,222.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-28,74.0,33.0,31.0,146.0,22.0,146.0,4.0,O3,TIDAK SEHAT,DKI2
2012-09-29,109.0,38.0,52.0,210.0,27.0,210.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-09-30,89.0,32.0,52.0,215.0,18.0,215.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
,,,,,,,,,,
