tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-10-01,98,27,47,219,15,219,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-02,92,31,34,295,17,295,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-03,96,30,69,236,22,236,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-04,76,27,44,201,27,201,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-05,65,25,47,238,18,238,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-06,66,28,54,212,20,212,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-07,62,26,27,210,16,210,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-08,83,27,37,238,20,238,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-09,92,34,52,205,19,205,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-10,69,30,32,288,22,288,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-11,74,27,31,261,19,261,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-12,69,31,29,266,20,266,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-13,109,35,55,129,18,129,4,O3,TIDAK SEHAT,DKI2
2012-10-14,93,27,46,235,10,235,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-15,139,32,63,228,21,228,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-16,92,29,42,257,17,257,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-17,116,35,52,275,17,275,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-18,111,29,41,249,15,249,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-19,86,29,40,274,25,274,4,O3,SANGAT TIDAK SEHAT,DKI3
2012-10-20,95,27,106,264,22,264,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-21,76,29,62,244,11,244,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-22,62,25,36,254,18,254,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-23,77,30,41,225,23,225,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-24,109,33,48,157,19,157,4,O3,TIDAK SEHAT,DKI2
2012-10-25,81,28,33,229,21,229,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-26,115,24,80,247,17,247,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-27,69,24,55,241,13,241,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-28,75,22,73,243,14,243,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-29,84,28,67,231,16,231,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-30,68,29,58,268,14,268,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-10-31,72,31,42,278,21,278,4,O3,SANGAT TIDAK SEHAT,DKI2
