tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-11-01,98.0,31.0,51.0,276.0,23.0,276.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-02,85.0,35.0,72.0,270.0,24.0,270.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-03,87.0,28.0,61.0,282.0,24.0,282.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-04,85.0,29.0,72.0,314.0,20.0,314.0,4.0,O3,BERBAHAYA,DKI2
2012-11-05,79.0,29.0,78.0,297.0,27.0,297.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-06,67.0,30.0,47.0,270.0,22.0,270.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-07,80.0,33.0,65.0,243.0,28.0,243.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-08,62.0,30.0,42.0,287.0,20.0,287.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-09,53.0,26.0,31.0,264.0,15.0,264.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-10,65.0,30.0,118.0,271.0,25.0,271.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-11,60.0,25.0,28.0,267.0,22.0,267.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-12,59.0,27.0,39.0,246.0,22.0,246.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-13,62.0,26.0,40.0,270.0,18.0,270.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-14,93.0,34.0,83.0,279.0,23.0,279.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-15,73.0,30.0,134.0,261.0,17.0,261.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-16,83.0,29.0,78.0,105.0,19.0,105.0,4.0,O3,TIDAK SEHAT,DKI4
2012-11-17,79.0,30.0,29.0,266.0,20.0,266.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-18,47.0,23.0,17.0,57.0,12.0,57.0,4.0,O3,SEDANG,DKI1
2012-11-19,51.0,30.0,35.0,221.0,22.0,221.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-20,58.0,30.0,43.0,261.0,19.0,261.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-21,75.0,32.0,73.0,154.0,27.0,154.0,4.0,O3,TIDAK SEHAT,DKI2
2012-11-22,71.0,30.0,48.0,185.0,18.0,185.0,4.0,O3,TIDAK SEHAT,DKI2
2012-11-23,69.0,33.0,40.0,203.0,22.0,203.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-24,53.0,30.0,31.0,200.0,18.0,200.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-25,62.0,36.0,38.0,238.0,18.0,238.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-26,58.0,34.0,40.0,203.0,18.0,203.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-27,84.0,37.0,52.0,215.0,18.0,215.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-28,62.0,30.0,47.0,227.0,16.0,227.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-29,69.0,32.0,49.0,218.0,22.0,218.0,4.0,O3,SANGAT TIDAK SEHAT,DKI2
2012-11-30,76.0,30.0,76.0,137.0,22.0,137.0,4.0,O3,TIDAK SEHAT,DKI2
,,,,,,,,,,
