tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku,Unnamed: 10
2012-12-01,59,30,61,106,18,106,4,O3,TIDAK SEHAT,DKI2
2012-12-02,66,26,85,222,15,222,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-03,52,27,58,212,14,212,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-04,46,31,64,202,16,202,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-05,57,39,35,197,11,197,4,O3,TIDAK SEHAT,DKI5
2012-12-06,63,34,37,219,21,219,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-07,74,13,58,221,19,221,4,O3,SANGAT TIDAK SEHAT,DKI4
2012-12-08,57,9,26,210,14,210,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-09,58,7,38,228,16,228,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-10,60,4,28,229,16,229,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-11,70,13,31,209,19,209,4,O3,SANGAT TIDAK SEHAT,DKI3
2012-12-12,72,16,33,163,19,163,4,O3,TIDAK SEHAT,DKI2
2012-12-13,64,6,39,135,24,135,4,O3,TIDAK SEHAT,DKI2
2012-12-14,68,7,42,223,30,223,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-15,63,5,61,214,17,214,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-16,59,8,20,215,18,215,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-17,53,7,32,124,20,124,4,O3,TIDAK SEHAT,DKI2
2012-12-18,49,8,39,107,19,107,4,O3,TIDAK SEHAT,DKI2
2012-12-19,65,6,51,168,18,168,4,O3,TIDAK SEHAT,DKI2
2012-12-20,66,12,33,155,20,155,4,O3,TIDAK SEHAT,DKI2
2012-12-21,55,9,29,185,14,185,4,O3,TIDAK SEHAT,DKI2
2012-12-22,52,2,39,217,12,217,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-23,43,4,35,209,13,209,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-24,53,9,21,178,13,178,4,O3,TIDAK SEHAT,DKI2
2012-12-25,45,4,20,192,10,192,4,O3,TIDAK SEHAT,DKI2
2012-12-26,38,3,31,205,16,205,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-27,45,6,30,218,12,218,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-28,47,4,23,210,11,210,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-29,40,4,26,215,14,215,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-30,38,4,20,215,10,215,4,O3,SANGAT TIDAK SEHAT,DKI2
2012-12-31,36,2,15,153,7,153,4,O3,TIDAK SEHAT,DKI2
