tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2013-01-01,75,4,27,135,10,135,O3,TIDAK SEHAT,DKI2
2013-01-02,35,4,26,192,8,192,O3,TIDAK SEHAT,DKI2
2013-01-03,61,5,36,195,9,195,O3,TIDAK SEHAT,DKI2
2013-01-04,39,4,13,210,10,210,O3,SANGAT TIDAK SEHAT,DKI2
2013-01-05,53,5,14,111,8,111,O3,TIDAK SEHAT,DKI2
2013-01-06,32,3,20,150,9,150,O3,TIDAK SEHAT,DKI2
2013-01-07,28,4,14,170,11,170,O3,TIDAK SEHAT,DKI2
2013-01-08,33,2,25,31,6,33,PM10,BAIK,DKI4
2013-01-09,21,2,18,92,7,92,O3,SEDANG,DKI2
2013-01-10,24,4,16,76,6,76,O3,SEDANG,DKI2
2013-01-11,39,5,15,53,5,53,O3,SEDANG,DKI2
2013-01-12,38,7,16,140,6,140,O3,TIDAK SEHAT,DKI2
2013-01-13,37,3,37,154,11,154,O3,TIDAK SEHAT,DKI2
2013-01-14,49,4,26,171,13,171,O3,TIDAK SEHAT,DKI2
2013-01-15,53,3,40,154,22,154,O3,TIDAK SEHAT,DKI2
2013-01-16,54,6,37,159,20,159,O3,TIDAK SEHAT,DKI2
2013-01-17,59,8,42,186,18,186,O3,TIDAK SEHAT,DKI2
2013-01-18,49,3,37,202,27,202,O3,SANGAT TIDAK SEHAT,DKI2
2013-01-19,84,7,78,110,33,110,O3,TIDAK SEHAT,DKI2
2013-01-20,39,3,17,152,11,152,O3,TIDAK SEHAT,DKI2
2013-01-21,55,6,23,170,12,170,O3,TIDAK SEHAT,DKI2
2013-01-22,61,6,29,195,14,195,O3,TIDAK SEHAT,DKI2
2013-01-23,57,9,50,139,15,139,O3,TIDAK SEHAT,DKI2
2013-01-24,40,5,28,135,10,135,O3,TIDAK SEHAT,DKI2
2013-01-25,51,8,34,155,15,155,O3,TIDAK SEHAT,DKI2
2013-01-26,62,9,50,144,15,144,O3,TIDAK SEHAT,DKI2
2013-01-27,52,5,25,122,11,122,O3,TIDAK SEHAT,DKI2
2013-01-28,41,5,29,195,14,195,O3,TIDAK SEHAT,DKI2
2013-01-29,69,7,44,184,15,184,O3,TIDAK SEHAT,DKI2
2013-01-30,55,5,29,151,14,151,O3,TIDAK SEHAT,DKI2
2013-01-31,74,9,36,195,20,195,O3,TIDAK SEHAT,DKI2
