tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2013-02-01,69.0,19.0,35.0,158.0,16.0,158.0,O3,TIDAK SEHAT,DKI2
2013-02-02,82.0,6.0,28.0,209.0,16.0,209.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-03,69.0,21.0,63.0,135.0,22.0,135.0,O3,TIDAK SEHAT,DKI2
2013-02-04,87.0,14.0,55.0,128.0,25.0,128.0,O3,TIDAK SEHAT,DKI3
2013-02-05,59.0,9.0,37.0,158.0,21.0,158.0,O3,TIDAK SEHAT,DKI3
2013-02-06,52.0,7.0,28.0,151.0,14.0,151.0,O3,TIDAK SEHAT,DKI2
2013-02-07,59.0,9.0,57.0,213.0,21.0,213.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-08,65.0,12.0,33.0,205.0,22.0,205.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-09,70.0,7.0,34.0,180.0,30.0,180.0,O3,TIDAK SEHAT,DKI2
2013-02-10,65.0,20.0,38.0,185.0,19.0,185.0,O3,TIDAK SEHAT,DKI2
2013-02-11,72.0,21.0,50.0,164.0,23.0,164.0,O3,TIDAK SEHAT,DKI2
2013-02-12,70.0,17.0,35.0,158.0,20.0,158.0,O3,TIDAK SEHAT,DKI2
2013-02-13,51.0,10.0,31.0,213.0,19.0,213.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-14,69.0,16.0,38.0,224.0,21.0,224.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-15,59.0,11.0,34.0,196.0,17.0,196.0,O3,TIDAK SEHAT,DKI2
2013-02-16,49.0,7.0,21.0,174.0,11.0,174.0,O3,TIDAK SEHAT,DKI2
2013-02-17,33.0,5.0,20.0,134.0,10.0,134.0,O3,TIDAK SEHAT,DKI2
2013-02-18,45.0,8.0,33.0,153.0,15.0,153.0,O3,TIDAK SEHAT,DKI2
2013-02-19,44.0,7.0,32.0,104.0,14.0,104.0,O3,TIDAK SEHAT,DKI2
2013-02-20,58.0,8.0,42.0,145.0,13.0,145.0,O3,TIDAK SEHAT,DKI2
2013-02-21,54.0,7.0,44.0,152.0,19.0,152.0,O3,TIDAK SEHAT,DKI2
2013-02-22,50.0,6.0,25.0,64.0,11.0,64.0,O3,SEDANG,DKI2
2013-02-23,49.0,5.0,25.0,168.0,12.0,168.0,O3,TIDAK SEHAT,DKI2
2013-02-24,59.0,5.0,50.0,217.0,13.0,217.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-25,52.0,6.0,24.0,134.0,15.0,134.0,O3,TIDAK SEHAT,DKI2
2013-02-26,57.0,5.0,31.0,213.0,14.0,213.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-27,53.0,5.0,33.0,230.0,17.0,230.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-02-28,47.0,6.0,21.0,185.0,7.0,185.0,O3,TIDAK SEHAT,DKI2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
