tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-03-01,74,10,36,91,17,91,O3,SEDANG,DKI3
2014-03-02,59,9,26,92,20,92,O3,SEDANG,DKI4
2014-03-03,65,14,33,144,21,144,O3,TIDAK SEHAT,DKI3
2014-03-04,62,18,30,156,17,156,O3,TIDAK SEHAT,DKI3
2014-03-05,65,10,31,98,21,98,O3,SEDANG,DKI4
2014-03-06,105,16,54,190,28,190,O3,TIDAK SEHAT,DKI5
2014-03-07,80,14,38,101,26,101,O3,TIDAK SEHAT,DKI2
2014-03-08,79,10,31,85,23,85,O3,SEDANG,DKI3
2014-03-09,89,7,63,70,17,89,PM10,SEDANG,DKI5
2014-03-10,82,8,40,76,23,82,PM10,SEDANG,DKI5
2014-03-11,95,8,56,62,21,95,PM10,SEDANG,DKI4
2014-03-12,69,8,59,66,20,69,PM10,SEDANG,DKI5
2014-03-13,89,10,70,96,26,96,O3,SEDANG,DKI4
2014-03-14,75,9,36,99,22,99,O3,SEDANG,DKI3
2014-03-15,111,12,69,138,27,138,O3,TIDAK SEHAT,DKI3
2014-03-16,97,8,50,78,14,97,PM10,SEDANG,DKI4
2014-03-17,87,10,45,146,26,146,O3,TIDAK SEHAT,DKI4
2014-03-18,77,10,52,126,27,126,O3,TIDAK SEHAT,DKI4
2014-03-19,86,10,36,98,25,98,O3,SEDANG,DKI5
2014-03-20,94,17,48,195,27,195,O3,TIDAK SEHAT,DKI5
2014-03-21,64,7,40,88,19,88,O3,SEDANG,DKI5
2014-03-22,64,8,30,62,14,64,PM10,SEDANG,DKI5
2014-03-23,49,8,28,71,12,71,O3,SEDANG,DKI4
2014-03-24,83,10,50,75,19,83,PM10,SEDANG,DKI5
2014-03-25,62,11,25,63,13,63,O3,SEDANG,DKI5
2014-03-26,55,9,33,83,19,83,O3,SEDANG,DKI5
2014-03-27,107,11,85,114,34,114,O3,TIDAK SEHAT,DKI3
2014-03-28,68,9,35,163,23,163,O3,TIDAK SEHAT,DKI2
2014-03-29,67,11,30,118,20,118,O3,TIDAK SEHAT,DKI5
2014-03-30,66,12,25,91,18,91,O3,SEDANG,DKI5
2014-03-31,71,24,37,89,9,89,O3,SEDANG,DKI5
