tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-08-01,56,13,14,80,10,80,O3,SEDANG,DKI2
2014-08-02,63,13,13,74,12,74,O3,SEDANG,DKI3
2014-08-03,77,13,22,77,11,77,PM10,SEDANG,DKI3
2014-08-04,60,20,24,65,12,65,O3,SEDANG,DKI3
2014-08-05,59,14,18,61,11,61,O3,SEDANG,DKI2
2014-08-06,57,31,14,51,8,57,PM10,SEDANG,DKI2
2014-08-07,64,19,21,63,13,64,PM10,SEDANG,DKI4
2014-08-08,70,21,27,74,14,74,O3,SEDANG,DKI3
2014-08-09,71,17,24,93,15,93,O3,SEDANG,DKI3
2014-08-10,70,19,17,88,18,88,O3,SEDANG,DKI3
2014-08-11,66,23,26,65,14,66,PM10,SEDANG,DKI2
2014-08-12,66,19,34,99,18,99,O3,SEDANG,DKI3
2014-08-13,65,15,32,98,17,98,O3,SEDANG,DKI3
2014-08-14,73,17,24,72,15,73,PM10,SEDANG,DKI4
2014-08-15,70,17,30,82,19,82,O3,SEDANG,DKI3
2014-08-16,58,16,26,85,15,85,O3,SEDANG,DKI3
2014-08-17,66,19,24,86,16,86,O3,SEDANG,DKI3
2014-08-18,70,26,29,80,16,80,O3,SEDANG,DKI3
2014-08-19,82,20,25,98,21,98,O3,SEDANG,DKI3
2014-08-20,75,18,31,104,20,104,O3,TIDAK SEHAT,DKI5
2014-08-21,93,17,28,88,18,93,PM10,SEDANG,DKI4
2014-08-22,108,14,25,63,20,108,PM10,TIDAK SEHAT,DKI4
2014-08-23,76,16,18,84,13,84,O3,SEDANG,DKI5
2014-08-24,75,14,15,82,9,82,O3,SEDANG,DKI3
2014-08-25,72,15,30,90,25,90,O3,SEDANG,DKI5
2014-08-26,72,19,31,97,20,97,O3,SEDANG,DKI5
2014-08-27,84,15,26,88,18,88,O3,SEDANG,DKI3
2014-08-28,76,15,24,78,14,78,O3,SEDANG,DKI3
2014-08-29,76,15,27,73,17,76,PM10,SEDANG,DKI2
2014-08-30,78,15,27,92,22,92,O3,SEDANG,DKI3
2014-08-31,80,14,17,83,14,83,O3,SEDANG,DKI3
