tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-09-01,68.0,16.0,20.0,75.0,15.0,75.0,O3,SEDANG,DKI3
2014-09-02,73.0,16.0,27.0,93.0,17.0,93.0,O3,SEDANG,DKI3
2014-09-03,87.0,17.0,26.0,101.0,18.0,101.0,O3,TIDAK SEHAT,DKI4
2014-09-04,85.0,15.0,29.0,115.0,18.0,115.0,O3,TIDAK SEHAT,DKI3
2014-09-05,76.0,16.0,32.0,88.0,25.0,88.0,O3,SEDANG,DKI4
2014-09-06,61.0,14.0,30.0,97.0,18.0,97.0,O3,SEDANG,DKI2
2014-09-07,68.0,15.0,27.0,89.0,18.0,89.0,O3,SEDANG,DKI3
2014-09-08,77.0,16.0,27.0,80.0,21.0,80.0,O3,SEDANG,DKI5
2014-09-09,86.0,16.0,28.0,106.0,21.0,106.0,O3,TIDAK SEHAT,DKI3
2014-09-10,75.0,17.0,27.0,83.0,21.0,83.0,O3,SEDANG,DKI3
2014-09-11,81.0,19.0,25.0,89.0,17.0,89.0,O3,SEDANG,DKI3
2014-09-12,79.0,17.0,24.0,87.0,22.0,87.0,O3,SEDANG,DKI3
2014-09-13,79.0,17.0,22.0,91.0,20.0,91.0,O3,SEDANG,DKI3
2014-09-14,77.0,17.0,16.0,88.0,19.0,88.0,O3,SEDANG,DKI3
2014-09-15,72.0,18.0,27.0,102.0,22.0,102.0,O3,TIDAK SEHAT,DKI3
2014-09-16,83.0,17.0,27.0,112.0,24.0,112.0,O3,TIDAK SEHAT,DKI3
2014-09-17,82.0,18.0,21.0,75.0,18.0,82.0,PM10,SEDANG,DKI4
2014-09-18,80.0,20.0,24.0,81.0,18.0,81.0,O3,SEDANG,DKI3
2014-09-19,77.0,16.0,21.0,69.0,14.0,77.0,PM10,SEDANG,DKI4
2014-09-20,74.0,19.0,18.0,86.0,15.0,86.0,O3,SEDANG,DKI3
2014-09-21,77.0,15.0,38.0,90.0,21.0,90.0,O3,SEDANG,DKI3
2014-09-22,72.0,15.0,31.0,79.0,19.0,79.0,O3,SEDANG,DKI3
2014-09-23,69.0,16.0,26.0,76.0,16.0,76.0,O3,SEDANG,DKI3
2014-09-24,99.0,21.0,20.0,63.0,16.0,99.0,PM10,SEDANG,DKI4
2014-09-25,78.0,19.0,28.0,124.0,24.0,124.0,O3,TIDAK SEHAT,DKI2
2014-09-26,93.0,18.0,28.0,107.0,22.0,107.0,O3,TIDAK SEHAT,DKI3
2014-09-27,85.0,21.0,27.0,78.0,21.0,85.0,PM10,SEDANG,DKI4
2014-09-28,90.0,17.0,32.0,79.0,20.0,90.0,PM10,SEDANG,DKI4
2014-09-29,78.0,15.0,28.0,93.0,17.0,93.0,O3,SEDANG,DKI4
2014-09-30,74.0,26.0,31.0,77.0,24.0,77.0,O3,SEDANG,DKI2
,,,,,,,,,
