tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-10-01,102,16,41,67,20,102,PM10,TIDAK SEHAT,DKI4
2014-10-02,74,16,30,74,18,74,PM10,SEDANG,DKI4
2014-10-03,78,16,27,83,18,83,O3,SEDANG,DKI4
2014-10-04,74,16,18,62,15,74,PM10,SEDANG,DKI4
2014-10-05,78,15,26,80,17,80,O3,SEDANG,DKI2
2014-10-06,82,27,22,124,25,124,O3,TIDAK SEHAT,DKI5
2014-10-07,83,27,20,77,18,83,PM10,SEDANG,DKI4
2014-10-08,72,17,17,89,17,89,O3,SEDANG,DKI2
2014-10-09,66,20,14,78,18,78,O3,SEDANG,DKI4
2014-10-10,75,17,22,81,22,81,O3,SEDANG,DKI2
2014-10-11,86,20,30,121,23,121,O3,TIDAK SEHAT,DKI2
2014-10-12,105,18,28,106,20,106,O3,TIDAK SEHAT,DKI2
2014-10-13,100,16,33,131,18,131,O3,TIDAK SEHAT,DKI2
2014-10-14,77,15,26,73,15,77,PM10,SEDANG,DKI4
2014-10-15,81,15,22,89,17,89,O3,SEDANG,DKI4
2014-10-16,92,19,35,78,24,92,PM10,SEDANG,DKI4
2014-10-17,93,17,28,71,16,93,PM10,SEDANG,DKI4
2014-10-18,91,16,27,70,20,91,PM10,SEDANG,DKI4
2014-10-19,94,20,34,73,19,94,PM10,SEDANG,DKI4
2014-10-20,77,16,21,78,18,78,O3,SEDANG,DKI5
2014-10-21,81,20,22,63,16,81,PM10,SEDANG,DKI4
2014-10-22,83,23,23,72,22,83,PM10,SEDANG,DKI4
2014-10-23,86,18,27,116,27,116,O3,TIDAK SEHAT,DKI5
2014-10-24,100,17,27,81,21,100,PM10,SEDANG,DKI2
2014-10-25,116,21,41,82,16,116,PM10,TIDAK SEHAT,DKI2
2014-10-26,86,19,36,92,15,92,O3,SEDANG,DKI5
2014-10-27,64,18,32,85,24,85,O3,SEDANG,DKI5
2014-10-28,70,15,27,112,21,112,O3,TIDAK SEHAT,DKI2
2014-10-29,84,20,25,75,19,84,PM10,SEDANG,DKI2
2014-10-30,71,16,30,61,18,71,PM10,SEDANG,DKI4
2014-10-31,83,20,26,65,19,83,PM10,SEDANG,DKI4
