tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-11-01,58.0,16.0,22.0,96.0,21.0,96.0,O3,SEDANG,DKI2
2014-11-02,92.0,16.0,32.0,107.0,19.0,107.0,O3,TIDAK SEHAT,DKI5
2014-11-03,74.0,25.0,25.0,93.0,21.0,93.0,O3,SEDANG,DKI2
2014-11-04,70.0,20.0,28.0,94.0,23.0,94.0,O3,SEDANG,DKI2
2014-11-05,59.0,17.0,27.0,71.0,22.0,71.0,O3,SEDANG,DKI2
2014-11-06,71.0,17.0,31.0,90.0,20.0,90.0,O3,SEDANG,DKI5
2014-11-07,82.0,16.0,33.0,94.0,21.0,94.0,O3,SEDANG,DKI5
2014-11-08,70.0,19.0,30.0,146.0,19.0,146.0,O3,TIDAK SEHAT,DKI5
2014-11-09,69.0,15.0,32.0,94.0,24.0,94.0,O3,SEDANG,DKI2
2014-11-10,61.0,15.0,34.0,99.0,24.0,99.0,O3,SEDANG,DKI2
2014-11-11,55.0,14.0,31.0,103.0,18.0,103.0,O3,TIDAK SEHAT,DKI2
2014-11-12,69.0,16.0,38.0,83.0,22.0,83.0,O3,SEDANG,DKI2
2014-11-13,67.0,25.0,28.0,100.0,25.0,100.0,O3,SEDANG,DKI5
2014-11-14,70.0,24.0,35.0,87.0,22.0,87.0,O3,SEDANG,DKI4
2014-11-15,79.0,23.0,41.0,103.0,27.0,103.0,O3,TIDAK SEHAT,DKI2
2014-11-16,67.0,19.0,24.0,104.0,21.0,104.0,O3,TIDAK SEHAT,DKI2
2014-11-17,47.0,18.0,27.0,70.0,19.0,70.0,O3,SEDANG,DKI5
2014-11-18,51.0,26.0,37.0,82.0,19.0,82.0,O3,SEDANG,DKI5
2014-11-19,66.0,18.0,30.0,104.0,18.0,104.0,O3,TIDAK SEHAT,DKI5
2014-11-20,50.0,21.0,34.0,90.0,20.0,90.0,O3,SEDANG,DKI2
2014-11-21,62.0,15.0,33.0,72.0,16.0,72.0,O3,SEDANG,DKI2
2014-11-22,64.0,18.0,44.0,82.0,20.0,82.0,O3,SEDANG,DKI5
2014-11-23,78.0,17.0,38.0,58.0,14.0,78.0,PM10,SEDANG,DKI4
2014-11-24,65.0,15.0,29.0,105.0,17.0,105.0,O3,TIDAK SEHAT,DKI2
2014-11-25,50.0,16.0,30.0,92.0,17.0,92.0,O3,SEDANG,DKI2
2014-11-26,59.0,16.0,30.0,93.0,21.0,93.0,O3,SEDANG,DKI5
2014-11-27,80.0,19.0,40.0,100.0,25.0,100.0,O3,SEDANG,DKI2
2014-11-28,66.0,17.0,32.0,140.0,23.0,140.0,O3,TIDAK SEHAT,DKI2
2014-11-29,79.0,23.0,64.0,74.0,30.0,79.0,PM10,SEDANG,DKI2
2014-11-30,37.0,14.0,26.0,51.0,15.0,51.0,O3,SEDANG,DKI1
,,,,,,,,,
