tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2015-03-01,86,16,48,39,16,86,PM10,SEDANG,DKI4
2015-03-02,57,17,40,41,18,57,PM10,SEDANG,DKI1
2015-03-03,62,19,33,50,18,62,PM10,SEDANG,DKI1
2015-03-04,59,16,41,38,19,59,PM10,SEDANG,DKI1
2015-03-05,51,14,29,44,15,51,PM10,SEDANG,DKI1
2015-03-06,66,17,44,70,18,70,O3,SEDANG,DKI5
2015-03-07,53,15,27,59,20,59,O3,SEDANG,DKI4
2015-03-08,46,14,36,36,17,46,PM10,BAIK,DKI4
2015-03-09,51,15,33,45,17,51,PM10,SEDANG,DKI5
2015-03-10,49,14,36,63,25,63,O3,SEDANG,DKI5
2015-03-11,44,14,27,62,15,62,O3,SEDANG,DKI3
2015-03-12,43,16,29,48,12,48,O3,BAIK,DKI4
2015-03-13,66,16,61,49,24,66,PM10,SEDANG,DKI1
2015-03-14,72,17,44,52,13,72,PM10,SEDANG,DKI4
2015-03-15,64,16,30,49,14,64,PM10,SEDANG,DKI1
2015-03-16,55,14,52,71,19,71,O3,SEDANG,DKI4
2015-03-17,66,20,46,85,21,85,O3,SEDANG,DKI4
2015-03-18,75,22,35,104,25,104,O3,TIDAK SEHAT,DKI2
2015-03-19,68,16,33,130,26,130,O3,TIDAK SEHAT,DKI3
2015-03-20,57,15,30,127,30,127,O3,TIDAK SEHAT,DKI2
2015-03-21,52,14,30,92,16,92,O3,SEDANG,DKI3
2015-03-22,63,16,36,113,17,113,O3,TIDAK SEHAT,DKI3
2015-03-23,53,17,33,155,28,155,O3,TIDAK SEHAT,DKI5
2015-03-24,76,17,46,94,20,94,O3,SEDANG,DKI3
2015-03-25,75,21,44,57,20,75,PM10,SEDANG,DKI4
2015-03-26,66,15,43,62,21,66,PM10,SEDANG,DKI2
2015-03-27,67,17,58,83,20,83,O3,SEDANG,DKI3
2015-03-28,68,17,33,77,17,77,O3,SEDANG,DKI3
2015-03-29,78,15,53,74,12,78,PM10,SEDANG,DKI4
2015-03-30,69,14,47,76,17,76,O3,SEDANG,DKI3
2015-03-31,80,17,29,72,18,80,PM10,SEDANG,DKI4
