tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2015-04-01,65.0,19.0,37.0,80.0,21.0,80.0,O3,SEDANG,DKI2
2015-04-02,67.0,13.0,45.0,88.0,22.0,88.0,O3,SEDANG,DKI2
2015-04-03,51.0,14.0,50.0,54.0,17.0,54.0,O3,SEDANG,DKI3
2015-04-04,75.0,18.0,52.0,108.0,21.0,108.0,O3,TIDAK SEHAT,DKI2
2015-04-05,75.0,19.0,45.0,77.0,23.0,77.0,O3,SEDANG,DKI5
2015-04-06,71.0,17.0,41.0,61.0,20.0,71.0,PM10,SEDANG,DKI4
2015-04-07,57.0,17.0,29.0,33.0,12.0,57.0,PM10,SEDANG,DKI4
2015-04-08,65.0,15.0,46.0,86.0,19.0,86.0,O3,SEDANG,DKI2
2015-04-09,69.0,14.0,42.0,86.0,23.0,86.0,O3,SEDANG,DKI2
2015-04-10,87.0,18.0,64.0,87.0,39.0,87.0,PM10,SEDANG,DKI3
2015-04-11,59.0,17.0,36.0,62.0,15.0,62.0,O3,SEDANG,DKI2
2015-04-12,62.0,22.0,35.0,88.0,25.0,88.0,O3,SEDANG,DKI3
2015-04-13,74.0,21.0,35.0,65.0,17.0,74.0,PM10,SEDANG,DKI1
2015-04-14,74.0,22.0,54.0,67.0,30.0,74.0,PM10,SEDANG,DKI4
2015-04-15,64.0,17.0,37.0,83.0,19.0,83.0,O3,SEDANG,DKI3
2015-04-16,73.0,18.0,36.0,87.0,21.0,87.0,O3,SEDANG,DKI3
2015-04-17,64.0,18.0,37.0,54.0,16.0,64.0,PM10,SEDANG,DKI2
2015-04-18,84.0,22.0,47.0,74.0,19.0,84.0,PM10,SEDANG,DKI4
2015-04-19,83.0,18.0,48.0,111.0,21.0,111.0,O3,TIDAK SEHAT,DKI2
2015-04-20,61.0,22.0,42.0,98.0,21.0,98.0,O3,SEDANG,DKI1
2015-04-21,76.0,25.0,45.0,101.0,30.0,101.0,O3,TIDAK SEHAT,DKI3
2015-04-22,71.0,17.0,36.0,119.0,19.0,119.0,O3,TIDAK SEHAT,DKI3
2015-04-23,40.0,16.0,26.0,46.0,10.0,46.0,O3,BAIK,DKI1
2015-04-24,34.0,15.0,28.0,39.0,7.0,39.0,O3,BAIK,DKI1
2015-04-25,32.0,15.0,30.0,40.0,14.0,40.0,O3,BAIK,DKI1
2015-04-26,53.0,16.0,39.0,43.0,16.0,53.0,PM10,SEDANG,DKI2
2015-04-27,53.0,16.0,47.0,67.0,9.0,67.0,O3,SEDANG,DKI4
2015-04-28,46.0,15.0,28.0,42.0,12.0,46.0,PM10,BAIK,DKI4
2015-04-29,50.0,15.0,27.0,42.0,12.0,50.0,PM10,BAIK,DKI4
2015-04-30,40.0,15.0,28.0,51.0,16.0,51.0,O3,SEDANG,DKI2
,,,,,,,,,
