tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2015-07-01,83,32,30,86,24,86,O3,SEDANG,DKI4
2015-07-02,86,34,37,93,21,93,O3,SEDANG,DKI4
2015-07-03,75,35,31,99,19,99,O3,SEDANG,DKI5
2015-07-04,77,40,22,94,22,94,O3,SEDANG,DKI3
2015-07-05,114,35,52,87,20,114,PM10,TIDAK SEHAT,DKI5
2015-07-06,84,34,25,95,21,95,O3,SEDANG,DKI3
2015-07-07,83,37,27,123,27,123,O3,TIDAK SEHAT,DKI3
2015-07-08,81,33,26,109,21,109,O3,TIDAK SEHAT,DKI3
2015-07-09,81,32,21,95,22,95,O3,SEDANG,DKI3
2015-07-10,73,35,27,86,27,86,O3,SEDANG,DKI3
2015-07-11,70,47,26,77,15,77,O3,SEDANG,DKI3
2015-07-12,63,29,23,64,13,64,O3,SEDANG,DKI3
2015-07-13,60,31,23,54,11,60,PM10,SEDANG,DKI5
2015-07-14,70,33,25,53,12,70,PM10,SEDANG,DKI4
2015-07-15,60,32,25,39,12,60,PM10,SEDANG,DKI5
2015-07-16,55,31,21,45,9,55,PM10,SEDANG,DKI4
2015-07-17,56,31,31,44,8,56,PM10,SEDANG,DKI4
2015-07-18,52,30,22,58,8,58,O3,SEDANG,DKI3
2015-07-19,54,29,21,56,8,56,O3,SEDANG,DKI3
2015-07-20,55,30,22,61,9,61,O3,SEDANG,DKI3
2015-07-21,72,30,22,64,9,72,PM10,SEDANG,DKI4
2015-07-22,62,27,22,61,10,62,PM10,SEDANG,DKI4
2015-07-23,63,28,30,56,11,63,PM10,SEDANG,DKI4
2015-07-24,59,29,23,53,10,59,PM10,SEDANG,DKI4
2015-07-25,66,32,24,79,12,79,O3,SEDANG,DKI3
2015-07-26,110,28,27,80,30,110,PM10,TIDAK SEHAT,DKI4
2015-07-27,69,27,26,82,17,82,O3,SEDANG,DKI3
2015-07-28,65,34,26,66,16,66,O3,SEDANG,DKI3
2015-07-29,71,33,26,54,17,71,PM10,SEDANG,DKI4
2015-07-30,80,33,28,73,15,80,PM10,SEDANG,DKI4
2015-07-31,79,32,27,82,22,82,O3,SEDANG,DKI3
