tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-06-01,41.0,41.0,29.0,37.0,11.0,41.0,PM10,BAIK,DKI1
2017-06-02,61.0,43.0,43.0,79.0,15.0,79.0,O3,SEDANG,DKI3
2017-06-03,81.0,45.0,43.0,105.0,11.0,105.0,O3,TIDAK SEHAT,DKI3
2017-06-04,80.0,47.0,41.0,95.0,17.0,95.0,O3,SEDANG,DKI3
2017-06-05,82.0,50.0,45.0,98.0,17.0,98.0,O3,SEDANG,DKI3
2017-06-06,53.0,44.0,37.0,84.0,15.0,84.0,O3,SEDANG,DKI3
2017-06-07,60.0,48.0,36.0,95.0,14.0,95.0,O3,SEDANG,DKI3
2017-06-08,68.0,49.0,32.0,59.0,16.0,68.0,PM10,SEDANG,DKI4
2017-06-09,69.0,47.0,32.0,75.0,16.0,75.0,O3,SEDANG,DKI3
2017-06-10,73.0,46.0,38.0,86.0,16.0,86.0,O3,SEDANG,DKI3
2017-06-11,104.0,46.0,41.0,78.0,16.0,104.0,PM10,TIDAK SEHAT,DKI3
2017-06-12,67.0,47.0,33.0,79.0,14.0,79.0,O3,SEDANG,DKI3
2017-06-13,84.0,46.0,46.0,90.0,17.0,90.0,O3,SEDANG,DKI5
2017-06-14,55.0,44.0,34.0,96.0,19.0,96.0,O3,SEDANG,DKI3
2017-06-15,74.0,47.0,35.0,72.0,14.0,74.0,PM10,SEDANG,DKI4
2017-06-16,74.0,47.0,38.0,46.0,15.0,74.0,PM10,SEDANG,DKI4
2017-06-17,67.0,48.0,31.0,85.0,16.0,85.0,O3,SEDANG,DKI3
2017-06-18,55.0,44.0,38.0,93.0,14.0,93.0,O3,SEDANG,DKI2
2017-06-19,65.0,47.0,35.0,120.0,15.0,120.0,O3,TIDAK SEHAT,DKI2
2017-06-20,66.0,49.0,37.0,140.0,14.0,140.0,O3,TIDAK SEHAT,DKI2
2017-06-21,78.0,48.0,51.0,83.0,15.0,83.0,O3,SEDANG,DKI3
2017-06-22,91.0,48.0,73.0,71.0,22.0,91.0,PM10,SEDANG,DKI4
2017-06-23,109.0,46.0,47.0,70.0,17.0,109.0,PM10,TIDAK SEHAT,DKI4
2017-06-24,60.0,46.0,33.0,48.0,9.0,60.0,PM10,SEDANG,DKI4
2017-06-25,66.0,47.0,56.0,49.0,10.0,66.0,PM10,SEDANG,DKI4
2017-06-26,23.0,44.0,26.0,43.0,4.0,44.0,SO2,BAIK,DKI4
2017-06-27,20.0,44.0,24.0,51.0,5.0,51.0,O3,SEDANG,DKI3
2017-06-28,57.0,44.0,53.0,68.0,14.0,68.0,O3,SEDANG,DKI3
2017-06-29,42.0,44.0,30.0,73.0,10.0,73.0,O3,SEDANG,DKI3
2017-06-30,29.0,44.0,25.0,63.0,6.0,63.0,O3,SEDANG,DKI2
,,,,,,,,,
