Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-04-2010,29.2,72.0,0.0,3.0,E 
02-04-2010,29.0,79.0,20.7,3.0,E 
03-04-2010,28.5,80.0,0.0,3.0,N 
04-04-2010,29.2,75.0,0.4,3.0,N 
05-04-2010,28.4,80.0,1.8,2.0,W 
06-04-2010,29.3,75.0,0.0,2.0,N 
07-04-2010,29.5,76.0,2.8,2.0,W 
08-04-2010,28.8,81.0,0.6,2.0,W 
09-04-2010,30.0,76.0,0.0,2.0,W 
10-04-2010,30.4,74.0,0.0,2.0,W 
11-04-2010,29.7,72.0,0.0,4.0,W 
12-04-2010,29.5,74.0,0.0,3.0,W 
13-04-2010,29.9,74.0,0.0,2.0,E 
14-04-2010,30.0,74.0,0.2,3.0,E 
15-04-2010,30.3,74.0,0.0,3.0,W 
16-04-2010,28.1,74.0,0.2,3.0,SW
17-04-2010,29.6,74.0,0.0,3.0,W 
18-04-2010,29.5,72.0,0.0,3.0,W 
19-04-2010,30.0,67.0,0.0,4.0,W 
20-04-2010,30.1,68.0,0.0,2.0,W 
21-04-2010,30.6,69.0,0.0,3.0,W 
22-04-2010,29.9,72.0,0.0,3.0,W 
23-04-2010,29.8,73.0,0.0,3.0,W 
24-04-2010,30.1,71.0,0.0,3.0,W 
25-04-2010,30.2,74.0,0.0,3.0,N 
26-04-2010,30.7,70.0,0.0,2.0,N 
27-04-2010,30.5,72.0,0.0,3.0,W 
28-04-2010,29.8,70.0,0.0,3.0,W 
29-04-2010,29.5,74.0,8888.0,3.0,W 
30-04-2010,30.6,72.0,0.0,3.0,E 
