Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-06-2010,29.2,78.0,43.8,3.0,NW
02-06-2010,29.0,81.0,0.0,,
03-06-2010,30.1,76.0,0.0,3.0,E 
04-06-2010,29.2,76.0,26.0,3.0,E 
05-06-2010,27.8,86.0,16.9,2.0,N 
06-06-2010,28.1,82.0,8888.0,2.0,N 
07-06-2010,28.0,84.0,9.8,2.0,N 
08-06-2010,27.2,84.0,0.6,3.0,NW
09-06-2010,28.3,76.0,0.0,2.0,E 
10-06-2010,28.6,78.0,0.0,3.0,E 
11-06-2010,29.7,76.0,0.0,3.0,S 
12-06-2010,29.4,76.0,2.0,2.0,E 
13-06-2010,28.7,77.0,0.0,3.0,N 
14-06-2010,29.7,76.0,8888.0,2.0,N 
15-06-2010,28.8,76.0,8888.0,3.0,W 
16-06-2010,25.7,87.0,9.3,2.0,W 
17-06-2010,27.3,83.0,8888.0,2.0,E 
18-06-2010,28.2,79.0,9.0,2.0,N 
19-06-2010,27.2,84.0,0.4,3.0,E 
20-06-2010,28.2,78.0,0.4,3.0,E 
21-06-2010,29.4,75.0,0.0,3.0,SE
22-06-2010,29.3,70.0,0.0,2.0,E 
23-06-2010,28.7,69.0,5.4,3.0,E 
24-06-2010,28.5,83.0,7.0,2.0,E 
25-06-2010,27.2,84.0,0.3,2.0,E 
26-06-2010,28.7,78.0,0.5,2.0,S 
27-06-2010,29.1,74.0,0.0,2.0,E 
28-06-2010,29.7,78.0,0.0,3.0,E 
29-06-2010,28.0,80.0,2.4,3.0,E 
30-06-2010,28.4,77.0,0.0,3.0,S 
