Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-01-2014,26.1,90.0,0.5,2.0,W 
02-01-2014,28.5,78.0,0.0,2.0,W 
03-01-2014,29.0,81.0,8888.0,1.0,N 
04-01-2014,28.9,76.0,0.0,2.0,W 
05-01-2014,27.9,74.0,25.0,4.0,W 
06-01-2014,27.0,81.0,4.7,2.0,W 
07-01-2014,27.7,81.0,13.7,0.0,W 
08-01-2014,24.9,96.0,12.1,0.0,W 
09-01-2014,28.4,72.0,0.0,3.0,W 
10-01-2014,28.4,72.0,11.5,2.0,NW
11-01-2014,28.0,82.0,31.5,2.0,N 
12-01-2014,25.2,94.0,78.7,2.0,N 
13-01-2014,25.8,91.0,17.0,2.0,W 
14-01-2014,27.6,81.0,27.6,3.0,NW
15-01-2014,25.0,88.0,5.5,2.0,W 
16-01-2014,26.8,80.0,117.8,2.0,NW
17-01-2014,25.3,92.0,147.9,3.0,NW
18-01-2014,26.0,86.0,94.6,2.0,NW
19-01-2014,26.9,82.0,12.8,3.0,NW
20-01-2014,26.1,85.0,82.1,3.0,W 
21-01-2014,24.1,96.0,25.0,2.0,W 
22-01-2014,25.9,85.0,84.7,2.0,N 
23-01-2014,25.4,90.0,13.0,3.0,W 
24-01-2014,26.1,84.0,25.5,2.0,NW
25-01-2014,26.2,86.0,11.4,2.0,NW
26-01-2014,26.7,85.0,0.5,3.0,NW
27-01-2014,25.5,88.0,16.2,2.0,NW
28-01-2014,26.4,85.0,50.0,3.0,N 
29-01-2014,25.8,86.0,0.0,3.0,W 
30-01-2014,27.5,82.0,6.7,2.0,W 
31-01-2014,27.0,79.0,9.6,2.0,W 
