Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-03-2016,26.9,86.0,22.3,2.0,NW
02-03-2016,27.6,86.0,27.0,1.0,N 
03-03-2016,28.4,81.0,8.8,2.0,N 
04-03-2016,28.4,84.0,11.0,2.0,N 
05-03-2016,27.9,85.0,33.5,1.0,N 
06-03-2016,28.9,82.0,0.0,2.0,N 
07-03-2016,28.7,81.0,12.4,1.0,N 
08-03-2016,29.1,83.0,5.0,2.0,N 
09-03-2016,29.1,78.0,0.0,1.0,N 
10-03-2016,28.6,81.0,0.6,1.0,N 
11-03-2016,28.9,78.0,1.5,1.0,N 
12-03-2016,28.9,74.0,0.0,1.0,N 
13-03-2016,28.8,79.0,8888.0,1.0,N 
14-03-2016,29.4,79.0,0.0,2.0,N 
15-03-2016,27.8,84.0,2.5,1.0,N 
16-03-2016,28.5,84.0,40.9,1.0,N 
17-03-2016,29.6,78.0,5.2,2.0,N 
18-03-2016,28.1,83.0,10.5,1.0,N 
19-03-2016,29.3,80.0,0.0,2.0,N 
20-03-2016,28.3,89.0,90.8,2.0,N 
21-03-2016,29.1,83.0,0.0,1.0,N 
22-03-2016,28.1,83.0,8888.0,2.0,N 
23-03-2016,28.6,77.0,5.5,2.0,N 
24-03-2016,29.0,74.0,0.0,1.0,N 
25-03-2016,28.8,81.0,8888.0,2.0,N 
26-03-2016,27.6,85.0,8.8,1.0,N 
27-03-2016,28.5,79.0,0.2,2.0,N 
28-03-2016,29.2,76.0,0.0,2.0,NW
29-03-2016,27.8,83.0,57.0,1.0,N 
30-03-2016,28.0,82.0,0.4,1.0,N 
31-03-2016,27.7,86.0,6.2,1.0,N 
