Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-07-2016,28.1,85.0,3.0,1.0,N 
02-07-2016,29.6,74.0,0.0,1.0,N 
03-07-2016,29.1,76.0,0.0,1.0,N 
04-07-2016,28.4,82.0,59.0,1.0,N 
05-07-2016,29.2,79.0,0.0,2.0,N 
06-07-2016,29.1,78.0,0.5,1.0,N 
07-07-2016,29.7,76.0,0.0,2.0,N 
08-07-2016,28.8,77.0,0.8,1.0,N 
09-07-2016,29.9,71.0,0.0,1.0,N 
10-07-2016,28.4,78.0,0.0,1.0,N 
11-07-2016,29.4,76.0,0.0,1.0,N 
12-07-2016,28.7,77.0,4.5,1.0,N 
13-07-2016,28.4,76.0,0.0,1.0,N 
14-07-2016,29.2,75.0,0.0,1.0,N 
15-07-2016,29.6,74.0,0.0,1.0,N 
16-07-2016,26.3,92.0,0.0,2.0,N 
17-07-2016,28.0,85.0,76.0,2.0,N 
18-07-2016,27.6,82.0,32.0,1.0,N 
19-07-2016,27.9,83.0,0.0,1.0,N 
20-07-2016,26.4,87.0,15.8,2.0,N 
21-07-2016,27.8,78.0,44.7,1.0,N 
22-07-2016,26.3,86.0,0.0,1.0,N 
23-07-2016,28.3,76.0,14.8,1.0,N 
24-07-2016,27.3,83.0,0.0,1.0,N 
25-07-2016,27.7,78.0,8.0,1.0,N 
26-07-2016,28.0,76.0,0.0,2.0,N 
27-07-2016,29.1,71.0,0.0,1.0,N 
28-07-2016,28.8,72.0,0.0,1.0,N 
29-07-2016,29.8,71.0,0.0,1.0,N 
30-07-2016,28.5,77.0,0.2,2.0,E 
31-07-2016,29.3,70.0,0.0,2.0,N 
