Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-09-2016,28.8,79.0,0.0,2.0,C 
02-09-2016,29.3,76.0,8888.0,1.0,N 
03-09-2016,28.7,77.0,8.6,1.0,N 
04-09-2016,29.0,77.0,0.0,2.0,W 
05-09-2016,28.5,79.0,55.0,1.0,N 
06-09-2016,29.1,76.0,0.0,2.0,N 
07-09-2016,27.4,80.0,8.0,2.0,E 
08-09-2016,27.9,79.0,27.5,1.0,N 
09-09-2016,29.3,74.0,0.0,1.0,N 
10-09-2016,29.4,70.0,0.0,2.0,N 
11-09-2016,28.8,73.0,0.0,0.0,N 
12-09-2016,28.5,70.0,0.0,1.0,N 
13-09-2016,28.9,69.0,0.0,2.0,N 
14-09-2016,29.1,74.0,0.0,1.0,N 
15-09-2016,27.7,80.0,6.0,0.0,N 
16-09-2016,28.6,78.0,0.0,2.0,E 
17-09-2016,28.8,76.0,0.0,1.0,N 
18-09-2016,28.5,82.0,20.5,0.0,N 
19-09-2016,27.2,89.0,0.0,2.0,N 
20-09-2016,29.1,80.0,13.0,2.0,W 
21-09-2016,27.8,80.0,0.0,1.0,N 
22-09-2016,28.0,81.0,6.5,1.0,N 
23-09-2016,27.7,84.0,0.0,1.0,N 
24-09-2016,27.3,83.0,59.8,1.0,N 
25-09-2016,29.1,78.0,0.6,2.0,W 
26-09-2016,28.3,77.0,22.8,2.0,W 
27-09-2016,29.0,76.0,0.0,1.0,N 
28-09-2016,28.6,74.0,8888.0,2.0,N 
29-09-2016,27.9,80.0,8.7,1.0,N 
30-09-2016,27.7,82.0,0.4,1.0,N 
