Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-10-2016,29.1,75.0,2.2,2.0,W 
02-10-2016,28.5,75.0,0.0,2.0,W 
03-10-2016,28.7,71.0,0.0,2.0,N 
04-10-2016,27.8,80.0,0.7,1.0,N 
05-10-2016,28.6,76.0,5.8,1.0,N 
06-10-2016,28.3,76.0,1.0,2.0,N 
07-10-2016,28.5,77.0,3.2,2.0,W 
08-10-2016,28.1,79.0,0.0,1.0,N 
09-10-2016,27.7,76.0,4.1,1.0,N 
10-10-2016,27.2,84.0,4.5,1.0,N 
11-10-2016,27.5,82.0,8.5,1.0,N 
12-10-2016,27.5,85.0,15.0,0.0,N 
13-10-2016,27.8,83.0,0.6,1.0,N 
14-10-2016,27.6,79.0,2.2,2.0,W 
15-10-2016,27.7,82.0,0.0,1.0,N 
16-10-2016,29.2,76.0,14.7,1.0,N 
17-10-2016,29.2,72.0,0.0,2.0,NW
18-10-2016,29.6,68.0,0.0,1.0,N 
19-10-2016,29.9,73.0,0.0,2.0,N 
20-10-2016,29.8,72.0,0.0,1.0,N 
21-10-2016,27.9,83.0,0.0,0.0,N 
22-10-2016,28.6,82.0,21.0,1.0,N 
23-10-2016,25.5,93.0,7.3,1.0,N 
24-10-2016,28.2,78.0,20.8,0.0,N 
25-10-2016,27.8,81.0,7.0,2.0,N 
26-10-2016,28.8,77.0,1.4,1.0,N 
27-10-2016,28.0,79.0,2.2,1.0,N 
28-10-2016,27.9,79.0,0.0,1.0,N 
29-10-2016,28.0,81.0,13.0,2.0,N 
30-10-2016,28.5,76.0,1.6,1.0,N 
31-10-2016,28.8,74.0,0.0,2.0,W 
