Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-02-2017,26.2,85.0,16.7,1.0,N 
02-02-2017,26.7,84.0,5.0,1.0,N 
03-02-2017,25.9,84.0,11.4,2.0,W 
04-02-2017,27.6,78.0,29.8,4.0,W 
05-02-2017,28.6,75.0,8888.0,3.0,W 
06-02-2017,28.3,73.0,3.6,2.0,W 
07-02-2017,28.6,74.0,3.2,2.0,N 
08-02-2017,28.0,75.0,0.0,3.0,NW
09-02-2017,27.4,79.0,0.0,2.0,N 
10-02-2017,26.4,87.0,8.3,1.0,W 
11-02-2017,26.0,87.0,25.9,2.0,N 
12-02-2017,27.2,84.0,26.9,2.0,N 
13-02-2017,27.4,81.0,21.5,2.0,N 
14-02-2017,26.5,85.0,42.0,2.0,N 
15-02-2017,26.7,83.0,29.8,2.0,N 
16-02-2017,27.2,83.0,13.4,2.0,NW
17-02-2017,27.1,84.0,30.7,1.0,N 
18-02-2017,27.9,80.0,0.0,2.0,N 
19-02-2017,26.7,90.0,16.3,1.0,NW
20-02-2017,26.1,94.0,9.2,0.0,N 
21-02-2017,25.8,88.0,179.7,1.0,N 
22-02-2017,27.5,82.0,10.8,2.0,N 
23-02-2017,27.4,81.0,14.5,2.0,N 
24-02-2017,27.5,84.0,0.6,2.0,N 
25-02-2017,28.5,75.0,0.0,2.0,W 
26-02-2017,27.5,83.0,10.0,2.0,N 
27-02-2017,28.1,80.0,1.0,2.0,NW
28-02-2017,28.2,80.0,10.5,1.0,N 
