Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-05-2019,28.6,76.0,24.5,3.0,W 
02-05-2019,29.6,72.0,0.0,2.0,W 
03-05-2019,29.2,78.0,0.0,1.0,C 
04-05-2019,29.5,79.0,8888.0,2.0,C 
05-05-2019,29.1,80.0,8.0,2.0,C 
06-05-2019,29.0,78.0,8888.0,1.0,C 
07-05-2019,29.4,77.0,0.0,1.0,C 
08-05-2019,29.0,77.0,0.0,1.0,C 
09-05-2019,28.8,78.0,0.0,2.0,C 
10-05-2019,28.4,78.0,8.0,1.0,C 
11-05-2019,29.4,81.0,3.8,1.0,C 
12-05-2019,29.9,76.0,0.0,1.0,C 
13-05-2019,30.0,72.0,0.0,1.0,C 
14-05-2019,30.3,72.0,0.0,2.0,E 
15-05-2019,30.4,74.0,0.0,2.0,E 
16-05-2019,29.1,77.0,0.0,1.0,C 
17-05-2019,28.7,80.0,1.2,1.0,C 
18-05-2019,29.1,77.0,2.3,1.0,C 
19-05-2019,29.6,70.0,0.0,2.0,E 
20-05-2019,30.3,72.0,0.0,2.0,C 
21-05-2019,30.3,71.0,0.0,1.0,C 
22-05-2019,29.8,69.0,0.0,2.0,C 
23-05-2019,30.5,68.0,0.0,2.0,E 
24-05-2019,30.2,66.0,0.0,1.0,C 
25-05-2019,29.6,71.0,0.0,1.0,C 
26-05-2019,29.8,70.0,0.0,1.0,C 
27-05-2019,30.6,69.0,0.0,2.0,E 
28-05-2019,30.3,68.0,0.0,2.0,C 
29-05-2019,30.1,72.0,0.0,2.0,E 
30-05-2019,29.5,73.0,0.0,1.0,C 
31-05-2019,30.6,66.0,0.0,1.0,C 
