Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-08-2019,28.1,66.0,0.0,2.0,W 
02-08-2019,28.4,70.0,0.0,2.0,C 
03-08-2019,28.3,70.0,0.0,1.0,C 
04-08-2019,28.1,62.0,0.0,1.0,C 
05-08-2019,28.0,68.0,0.0,2.0,C 
06-08-2019,26.6,60.0,0.0,1.0,C 
07-08-2019,27.8,61.0,0.0,1.0,C 
08-08-2019,27.7,63.0,0.0,1.0,C 
09-08-2019,27.5,72.0,0.0,2.0,C 
10-08-2019,27.9,70.0,0.0,1.0,C 
11-08-2019,27.9,71.0,0.0,2.0,C 
12-08-2019,28.6,66.0,0.0,1.0,C 
13-08-2019,29.0,70.0,0.0,2.0,C 
14-08-2019,28.6,73.0,0.0,2.0,C 
15-08-2019,28.6,74.0,0.0,2.0,C 
16-08-2019,28.6,71.0,0.0,1.0,C 
17-08-2019,28.9,72.0,0.0,2.0,C 
18-08-2019,28.2,66.0,0.0,1.0,C 
19-08-2019,27.5,70.0,0.0,1.0,C 
20-08-2019,28.3,62.0,0.0,1.0,C 
21-08-2019,29.4,63.0,0.0,2.0,C 
22-08-2019,28.8,70.0,0.0,1.0,C 
23-08-2019,28.3,72.0,0.0,2.0,C 
24-08-2019,28.0,69.0,0.0,1.0,C 
25-08-2019,28.0,68.0,0.0,1.0,C 
26-08-2019,28.4,70.0,0.0,2.0,C 
27-08-2019,28.6,74.0,0.0,1.0,C 
28-08-2019,28.7,76.0,0.0,1.0,C 
29-08-2019,28.9,70.0,0.0,1.0,C 
30-08-2019,29.2,69.0,0.0,2.0,C 
31-08-2019,27.7,69.0,0.0,1.0,C 
