Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-11-2020,27.7,81.0,5.5,2.0,C 
02-11-2020,28.6,75.0,7.0,2.0,C 
03-11-2020,28.8,74.0,0.0,1.0,C 
04-11-2020,28.6,74.0,8888.0,2.0,C 
05-11-2020,27.3,83.0,3.0,1.0,C 
06-11-2020,27.7,86.0,5.0,1.0,C 
07-11-2020,28.9,80.0,10.0,1.0,C 
08-11-2020,27.8,80.0,,2.0,C 
09-11-2020,29.1,71.0,1.0,1.0,C 
10-11-2020,29.5,77.0,0.0,2.0,C 
11-11-2020,29.9,72.0,0.0,1.0,C 
12-11-2020,29.8,74.0,3.6,2.0,C 
13-11-2020,30.4,76.0,,1.0,C 
14-11-2020,30.5,71.0,,2.0,C 
15-11-2020,30.7,68.0,0.0,1.0,C 
16-11-2020,29.7,74.0,0.0,2.0,C 
17-11-2020,29.3,78.0,,2.0,C 
18-11-2020,29.3,76.0,,1.0,C 
19-11-2020,30.2,72.0,8888.0,1.0,C 
20-11-2020,29.7,77.0,0.0,1.0,C 
21-11-2020,29.2,76.0,8888.0,1.0,C 
22-11-2020,28.5,77.0,0.0,1.0,C 
23-11-2020,28.0,81.0,0.0,1.0,C 
24-11-2020,28.1,77.0,1.0,1.0,C 
25-11-2020,28.3,78.0,15.0,1.0,C 
26-11-2020,28.7,77.0,26.0,1.0,C 
27-11-2020,29.4,70.0,0.0,2.0,C 
28-11-2020,28.5,79.0,9.0,1.0,C 
29-11-2020,28.4,74.0,0.2,4.0,W 
30-11-2020,27.8,76.0,1.0,2.0,C 
