Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-04-2010,29.2,72.0,0.0,3.0,E ,59,5,46,0,21
02-04-2010,29.0,79.0,20.7,3.0,E ,57,4,31,88,18
03-04-2010,28.5,80.0,0.0,3.0,N ,37,4,18,0,10
04-04-2010,29.2,75.0,0.4,3.0,N ,39,0,29,0,10
05-04-2010,28.4,80.0,1.8,2.0,W ,63,7,50,0,22
06-04-2010,29.3,75.0,0.0,2.0,N ,70,9,52,0,27
07-04-2010,29.5,76.0,2.8,2.0,W ,70,14,42,62,25
08-04-2010,28.8,81.0,0.6,2.0,W ,65,15,54,102,27
09-04-2010,30.0,76.0,0.0,2.0,W ,59,12,46,27,15
10-04-2010,30.4,74.0,0.0,2.0,W ,40,10,33,33,12
11-04-2010,29.7,72.0,0.0,4.0,W ,45,10,31,21,11
12-04-2010,29.5,74.0,0.0,3.0,W ,66,19,39,80,25
13-04-2010,29.9,74.0,0.0,2.0,E ,57,17,34,80,24
14-04-2010,30.0,74.0,0.2,3.0,E ,70,16,40,59,21
15-04-2010,30.3,74.0,0.0,3.0,W ,70,13,57,41,19
16-04-2010,28.1,74.0,0.2,3.0,SW,38,11,30,42,13
17-04-2010,29.6,74.0,0.0,3.0,W ,38,10,26,28,12
18-04-2010,29.5,72.0,0.0,3.0,W ,36,9,22,27,10
19-04-2010,30.0,67.0,0.0,4.0,W ,36,0,24,20,10
20-04-2010,30.1,68.0,0.0,2.0,W ,39,0,27,24,12
21-04-2010,30.6,69.0,0.0,3.0,W ,41,0,23,30,12
22-04-2010,29.9,72.0,0.0,3.0,W ,37,0,34,25,14
23-04-2010,29.8,73.0,0.0,3.0,W ,29,0,22,23,12
24-04-2010,30.1,71.0,0.0,3.0,W ,31,0,28,36,12
25-04-2010,30.2,74.0,0.0,3.0,N ,50,0,26,55,29
26-04-2010,30.7,70.0,0.0,2.0,N ,58,0,31,67,29
27-04-2010,30.5,72.0,0.0,3.0,W ,67,0,30,52,18
28-04-2010,29.8,70.0,0.0,3.0,W ,56,0,26,30,15
29-04-2010,29.5,74.0,0.0,3.0,W ,61,0,34,61,26
30-04-2010,30.6,72.0,0.0,3.0,E ,76,0,42,42,24
