Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-02-2013,28.7,75.0,0.1,2.0,N ,69.0,19.0,35.0,158.0,16.0
02-02-2013,26.9,88.0,3.3,2.0,N ,82.0,6.0,28.0,209.0,16.0
03-02-2013,27.0,76.0,0.0,3.0,N ,69.0,21.0,63.0,135.0,22.0
04-02-2013,29.1,76.0,23.0,2.0,NE,87.0,14.0,55.0,128.0,25.0
05-02-2013,27.9,80.0,0.0,3.0,W ,59.0,9.0,37.0,158.0,21.0
06-02-2013,28.6,74.0,35.6,3.0,W ,52.0,7.0,28.0,151.0,14.0
07-02-2013,27.9,82.0,0.0,2.0,N ,59.0,9.0,57.0,213.0,21.0
08-02-2013,28.2,78.0,0.0,2.0,N ,65.0,12.0,33.0,205.0,22.0
09-02-2013,28.8,78.0,0.1,3.0,W ,70.0,7.0,34.0,180.0,30.0
10-02-2013,28.0,80.0,0.5,3.0,N ,65.0,20.0,38.0,185.0,19.0
11-02-2013,28.3,79.0,0.0,3.0,NE,72.0,21.0,50.0,164.0,23.0
12-02-2013,28.5,78.0,5.8,2.0,N ,70.0,17.0,35.0,158.0,20.0
13-02-2013,27.5,82.0,1.8,3.0,N ,51.0,10.0,31.0,213.0,19.0
14-02-2013,26.3,88.0,4.9,3.0,W ,69.0,16.0,38.0,224.0,21.0
15-02-2013,27.9,77.0,0.0,3.0,W ,59.0,11.0,34.0,196.0,17.0
16-02-2013,28.4,76.0,28.1,3.0,NW,49.0,7.0,21.0,174.0,11.0
17-02-2013,25.9,87.0,1.6,3.0,NW,33.0,5.0,20.0,134.0,10.0
18-02-2013,26.5,86.0,6.0,3.0,W ,45.0,8.0,33.0,153.0,15.0
19-02-2013,26.6,80.0,0.0,3.0,W ,44.0,7.0,32.0,104.0,14.0
20-02-2013,27.9,82.0,16.9,3.0,W ,58.0,8.0,42.0,145.0,13.0
21-02-2013,27.6,80.0,3.4,2.0,N ,54.0,7.0,44.0,152.0,19.0
22-02-2013,27.8,80.0,6.3,3.0,N ,50.0,6.0,25.0,64.0,11.0
23-02-2013,27.0,84.0,6.0,3.0,W ,49.0,5.0,25.0,168.0,12.0
24-02-2013,28.3,79.0,0.0,3.0,W ,59.0,5.0,50.0,217.0,13.0
25-02-2013,29.1,76.0,0.0,3.0,W ,52.0,6.0,24.0,134.0,15.0
26-02-2013,28.2,82.0,3.0,3.0,W ,57.0,5.0,31.0,213.0,14.0
27-02-2013,29.1,75.0,0.2,3.0,W ,53.0,5.0,33.0,230.0,17.0
28-02-2013,29.4,70.0,0.0,3.0,W ,47.0,6.0,21.0,185.0,7.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
