Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-12-2013,28.5,81.0,0.0,1.0,W ,64,27,26,158,16
02-12-2013,28.2,80.0,43.4,1.0,W ,72,42,32,193,20
03-12-2013,27.3,85.0,0.7,1.0,W ,75,36,37,169,22
04-12-2013,27.9,78.0,21.4,1.0,W ,72,37,38,159,19
05-12-2013,28.8,74.0,0.0,1.0,W ,53,39,23,133,19
06-12-2013,28.4,77.0,11.5,2.0,NW,70,54,27,102,18
07-12-2013,29.6,71.0,0.0,2.0,NW,57,30,27,100,17
08-12-2013,28.2,79.0,0.2,2.0,W ,59,35,32,117,17
09-12-2013,27.8,81.0,6.9,2.0,S ,62,29,33,88,23
10-12-2013,28.6,76.0,0.0,2.0,NW,56,30,42,142,17
11-12-2013,28.7,75.0,0.0,2.0,W ,64,50,37,96,18
12-12-2013,28.6,82.0,0.4,2.0,W ,51,19,34,53,20
13-12-2013,27.6,86.0,32.5,2.0,S ,56,22,57,52,17
14-12-2013,26.7,80.0,3.8,2.0,NE,39,11,38,79,11
15-12-2013,27.7,73.0,31.9,1.0,N ,64,25,66,101,16
16-12-2013,27.9,68.0,61.0,2.0,N ,58,6,41,141,21
17-12-2013,26.7,78.0,0.4,0.0,NW,52,6,39,132,21
18-12-2013,28.1,82.0,6.4,2.0,W ,75,4,65,123,21
19-12-2013,28.4,80.0,5.2,2.0,NW,61,5,32,117,17
20-12-2013,27.4,82.0,0.2,3.0,W ,63,6,50,79,15
21-12-2013,27.8,78.0,1.0,4.0,W ,41,6,50,34,9
22-12-2013,25.1,78.0,7.9,3.0,W ,26,6,50,54,9
23-12-2013,27.1,81.0,0.4,3.0,W ,31,7,50,53,12
24-12-2013,27.9,78.0,0.0,3.0,W ,40,6,32,47,10
25-12-2013,28.1,88.0,5.2,2.0,W ,57,9,32,63,12
26-12-2013,28.2,81.0,3.4,2.0,NW,57,7,27,72,15
27-12-2013,27.3,80.0,0.0,2.0,NW,72,10,61,71,17
28-12-2013,27.9,83.0,0.0,3.0,NW,67,7,50,65,11
29-12-2013,28.0,74.0,3.2,3.0,NW,53,8,21,63,12
30-12-2013,26.2,81.0,70.6,4.0,W ,41,10,26,67,12
,,,,,,28,6,26,69,13
