Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-01-2014,26.1,90.0,0.5,2.0,W ,77,8,58,64,13
02-01-2014,28.5,78.0,0.0,2.0,W ,55,7,29,74,13
03-01-2014,29.0,81.0,0.0,1.0,N ,62,9,49,97,16
04-01-2014,28.9,76.0,0.0,2.0,W ,55,7,36,57,14
05-01-2014,27.9,74.0,25.0,4.0,W ,39,6,18,48,10
06-01-2014,27.0,81.0,4.7,2.0,W ,27,5,18,45,9
07-01-2014,27.7,81.0,13.7,0.0,W ,40,7,27,52,13
08-01-2014,24.9,96.0,12.1,0.0,W ,51,6,31,65,14
09-01-2014,28.4,72.0,0.0,3.0,W ,51,6,54,43,15
10-01-2014,28.4,72.0,11.5,2.0,NW,39,7,24,95,15
11-01-2014,28.0,82.0,31.5,2.0,N ,56,7,29,96,21
12-01-2014,25.2,94.0,78.7,2.0,N ,44,5,29,71,15
13-01-2014,25.8,91.0,17.0,2.0,W ,40,7,39,70,20
14-01-2014,27.6,81.0,27.6,3.0,NW,54,9,36,72,16
15-01-2014,25.0,88.0,5.5,2.0,W ,46,7,29,54,12
16-01-2014,26.8,80.0,117.8,2.0,NW,50,6,41,49,19
17-01-2014,25.3,92.0,147.9,3.0,NW,51,6,33,61,18
18-01-2014,26.0,86.0,94.6,2.0,NW,39,6,25,55,15
19-01-2014,26.9,82.0,12.8,3.0,NW,38,6,26,60,16
20-01-2014,26.1,85.0,82.1,3.0,W ,54,6,27,53,13
21-01-2014,24.1,96.0,25.0,2.0,W ,44,6,28,54,15
22-01-2014,25.9,85.0,84.7,2.0,N ,59,8,29,52,21
23-01-2014,25.4,90.0,13.0,3.0,W ,48,6,26,53,15
24-01-2014,26.1,84.0,25.5,2.0,NW,59,6,41,50,17
25-01-2014,26.2,86.0,11.4,2.0,NW,53,6,23,56,15
26-01-2014,26.7,85.0,0.5,3.0,NW,67,7,43,56,14
27-01-2014,25.5,88.0,16.2,2.0,NW,65,7,29,56,13
28-01-2014,26.4,85.0,50.0,3.0,N ,47,5,26,53,11
29-01-2014,25.8,86.0,0.0,3.0,W ,33,6,27,51,12
30-01-2014,27.5,82.0,6.7,2.0,W ,54,6,33,53,10
31-01-2014,27.0,79.0,9.6,2.0,W ,56,6,33,46,10
