Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-05-2014,29.0,75.0,0.0,0.0,N ,74,14,40,94,18
02-05-2014,29.4,74.0,0.0,1.0,S ,88,16,56,131,28
03-05-2014,30.0,75.0,0.0,2.0,E ,85,11,97,144,39
04-05-2014,29.3,74.0,0.0,1.0,E ,65,12,32,137,12
05-05-2014,30.1,75.0,0.0,2.0,NE,66,10,39,94,14
06-05-2014,30.2,75.0,2.5,2.0,E ,63,11,28,107,13
07-05-2014,29.9,79.0,4.4,2.0,N ,72,9,26,144,19
08-05-2014,29.1,80.0,0.0,0.0,NE,63,9,36,129,23
09-05-2014,29.9,74.0,0.0,1.0,NW,55,10,30,200,31
10-05-2014,30.0,74.0,0.0,0.0,N ,70,11,34,165,22
11-05-2014,29.1,79.0,0.5,1.0,E ,67,9,25,169,20
12-05-2014,29.5,78.0,0.0,1.0,E ,70,10,44,144,20
13-05-2014,29.9,76.0,12.1,1.0,NE,89,10,36,200,20
14-05-2014,29.5,74.0,0.0,2.0,N ,58,10,37,195,24
15-05-2014,28.9,77.0,5.6,2.0,N ,62,14,32,139,23
16-05-2014,28.9,74.0,4.8,1.0,E ,69,14,37,75,25
17-05-2014,28.6,77.0,0.0,2.0,NE,55,12,28,106,16
18-05-2014,29.0,76.0,0.0,1.0,NE,60,12,29,190,17
19-05-2014,29.1,76.0,1.8,2.0,S ,74,11,38,121,27
20-05-2014,28.9,76.0,0.0,2.0,E ,68,17,36,133,21
21-05-2014,29.5,75.0,0.0,2.0,S ,75,11,41,153,18
22-05-2014,29.9,72.0,1.4,2.0,E ,59,10,30,108,15
23-05-2014,28.7,74.0,0.0,2.0,E ,63,18,39,93,20
24-05-2014,28.2,79.0,0.0,1.0,E ,84,20,49,104,20
25-05-2014,29.2,75.0,0.0,2.0,E ,78,10,41,109,12
26-05-2014,29.6,78.0,0.0,2.0,E ,60,11,26,114,14
27-05-2014,29.9,75.0,8.5,2.0,E ,81,20,53,211,20
28-05-2014,28.8,81.0,0.0,1.0,E ,59,17,37,161,26
29-05-2014,29.5,73.0,0.0,2.0,E ,60,12,35,126,14
30-05-2014,29.2,74.0,3.7,2.0,N ,77,22,31,99,19
31-05-2014,29.0,76.0,6.7,2.0,N ,62,9,43,100,21
