Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-10-2016,29.1,75.0,2.2,2.0,W ,61,30,41,62,16
02-10-2016,28.5,75.0,0.0,2.0,W ,54,30,31,41,7
03-10-2016,28.7,71.0,0.0,2.0,N ,56,30,32,137,11
04-10-2016,27.8,80.0,0.7,1.0,N ,66,30,56,126,22
05-10-2016,28.6,76.0,5.8,1.0,N ,69,30,52,203,22
06-10-2016,28.3,76.0,1.0,2.0,N ,53,30,42,157,20
07-10-2016,28.5,77.0,3.2,2.0,W ,73,30,37,136,15
08-10-2016,28.1,79.0,0.0,1.0,N ,57,30,35,82,18
09-10-2016,27.7,76.0,4.1,1.0,N ,52,30,41,100,13
10-10-2016,27.2,84.0,4.5,1.0,N ,62,34,46,100,22
11-10-2016,27.5,82.0,8.5,1.0,N ,63,30,56,72,24
12-10-2016,27.5,85.0,15.0,0.0,N ,71,30,54,54,16
13-10-2016,27.8,83.0,0.6,1.0,N ,74,30,45,69,12
14-10-2016,27.6,79.0,2.2,2.0,W ,67,30,83,28,12
15-10-2016,27.7,82.0,0.0,1.0,N ,53,30,32,62,10
16-10-2016,29.2,76.0,14.7,1.0,N ,54,30,44,60,12
17-10-2016,29.2,72.0,0.0,2.0,NW,63,38,42,122,8
18-10-2016,29.6,68.0,0.0,1.0,N ,66,31,37,115,20
19-10-2016,29.9,73.0,0.0,2.0,N ,58,31,35,80,11
20-10-2016,29.8,72.0,0.0,1.0,N ,82,31,42,95,25
21-10-2016,27.9,83.0,0.0,0.0,N ,81,31,42,105,17
22-10-2016,28.6,82.0,21.0,1.0,N ,87,30,53,72,26
23-10-2016,25.5,93.0,7.3,1.0,N ,36,30,33,57,8
24-10-2016,28.2,78.0,20.8,0.0,N ,55,31,50,145,15
25-10-2016,27.8,81.0,7.0,2.0,N ,64,51,69,100,23
26-10-2016,28.8,77.0,1.4,1.0,N ,51,30,39,133,11
27-10-2016,28.0,79.0,2.2,1.0,N ,59,31,42,133,14
28-10-2016,27.9,79.0,0.0,1.0,N ,59,31,38,120,13
29-10-2016,28.0,81.0,13.0,2.0,N ,55,35,63,85,20
30-10-2016,28.5,76.0,1.6,1.0,N ,53,34,42,101,10
31-10-2016,28.8,74.0,0.0,2.0,W ,50,31,31,119,17
