Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-07-2017,28.2,78.0,10.6,1.0,N ,41,44,42,69,12
02-07-2017,29.1,74.0,0.0,2.0,SE,57,47,28,62,10
03-07-2017,29.2,77.0,0.0,1.0,N ,51,46,28,60,10
04-07-2017,29.8,74.0,0.0,1.0,N ,65,47,31,85,11
05-07-2017,29.9,73.0,0.0,1.0,N ,70,47,29,86,14
06-07-2017,28.2,72.0,0.0,1.0,N ,59,49,33,93,18
07-07-2017,28.8,73.0,0.0,1.0,N ,118,49,45,143,18
08-07-2017,29.2,72.0,0.0,1.0,N ,98,48,70,108,25
09-07-2017,29.1,70.0,0.0,1.0,N ,62,47,33,93,11
10-07-2017,28.2,76.0,0.0,1.0,N ,48,47,33,73,11
11-07-2017,28.1,79.0,16.7,1.0,N ,61,50,19,74,17
12-07-2017,28.0,78.0,0.0,1.0,N ,53,50,19,92,16
13-07-2017,27.9,78.0,11.0,1.0,N ,57,50,39,123,18
14-07-2017,28.4,75.0,0.0,1.0,N ,78,51,39,143,15
15-07-2017,28.7,71.0,0.0,0.0,N ,73,49,52,72,19
16-07-2017,27.8,72.0,0.0,1.0,N ,73,49,44,94,19
17-07-2017,28.0,62.0,0.0,1.0,N ,70,50,35,120,14
18-07-2017,27.9,71.0,0.0,1.0,N ,94,51,48,114,21
19-07-2017,28.0,78.0,0.0,1.0,N ,89,51,41,153,19
20-07-2017,28.3,79.0,0.2,1.0,N ,76,49,39,122,19
21-07-2017,27.7,80.0,81.4,1.0,N ,66,48,32,145,21
22-07-2017,29.2,74.0,0.0,2.0,S ,71,50,39,155,19
23-07-2017,28.6,81.0,0.0,0.0,N ,67,49,33,91,14
24-07-2017,28.3,76.0,0.0,1.0,N ,75,50,40,94,19
25-07-2017,28.8,67.0,0.0,2.0,N ,71,50,35,108,17
26-07-2017,29.0,62.0,0.0,1.0,N ,70,51,42,94,18
27-07-2017,28.5,71.0,0.0,1.0,N ,65,50,38,118,15
28-07-2017,28.8,73.0,0.0,2.0,N ,58,50,35,94,15
29-07-2017,29.6,74.0,0.0,1.0,N ,50,50,31,71,12
30-07-2017,29.2,74.0,0.0,2.0,S ,61,37,38,88,17
31-07-2017,29.0,78.0,0.0,1.0,N ,53,30,32,123,12
