Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-08-2018,27.9,76.0,0.0,0.0,N ,86,31,21,129,24
02-08-2018,27.9,66.0,0.0,1.0,N ,68,31,18,207,20
03-08-2018,27.6,66.0,0.0,2.0,S ,68,32,16,211,17
04-08-2018,26.9,66.0,0.0,1.0,N ,59,31,16,194,16
05-08-2018,27.2,64.0,0.0,2.0,N ,65,35,14,203,16
06-08-2018,27.1,62.0,0.0,1.0,N ,71,34,13,202,23
07-08-2018,28.4,65.0,0.0,1.0,N ,79,35,21,162,25
08-08-2018,27.5,72.0,0.0,1.0,N ,92,33,28,144,29
09-08-2018,28.3,71.0,0.0,2.0,N ,75,37,22,186,18
10-08-2018,28.2,72.0,0.0,2.0,N ,65,33,18,165,17
11-08-2018,27.3,77.0,32.8,1.0,N ,69,31,17,126,19
12-08-2018,28.1,76.0,0.0,1.0,N ,77,31,20,127,15
13-08-2018,29.7,69.0,0.0,1.0,N ,66,30,14,134,14
14-08-2018,28.1,76.0,0.0,1.0,N ,74,31,19,151,13
15-08-2018,28.6,73.0,0.0,1.0,N ,62,30,15,185,16
16-08-2018,28.0,72.0,0.0,1.0,N ,72,31,17,140,15
17-08-2018,27.7,71.0,0.0,1.0,N ,62,31,15,154,13
18-08-2018,27.1,65.0,0.0,1.0,N ,62,30,14,143,14
19-08-2018,27.8,67.0,0.0,1.0,N ,79,32,20,149,13
20-08-2018,29.0,66.0,0.0,1.0,N ,80,30,19,101,11
21-08-2018,28.2,73.0,0.0,1.0,N ,73,32,16,122,11
22-08-2018,28.4,72.0,0.0,1.0,N ,62,31,16,164,9
23-08-2018,28.3,73.0,0.0,1.0,N ,62,30,17,161,16
24-08-2018,28.6,73.0,0.0,1.0,N ,81,32,22,110,18
25-08-2018,28.9,67.0,0.0,1.0,N ,76,31,19,202,13
26-08-2018,28.8,69.0,0.0,2.0,N ,75,30,16,131,12
27-08-2018,29.1,68.0,0.0,1.0,N ,79,31,20,166,13
28-08-2018,28.6,75.0,0.0,2.0,N ,83,31,17,182,13
29-08-2018,28.5,71.0,0.0,1.0,N ,67,30,16,161,13
30-08-2018,29.1,70.0,0.0,1.0,N ,85,31,17,153,16
31-08-2018,28.8,70.0,0.0,1.0,N ,65,30,18,130,11
