Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-03-2019,28.3,80.0,1.0,2.0,C ,58,19,29,70,15
02-03-2019,28.5,78.0,0.9,2.0,C ,50,51,25,62,12
03-03-2019,27.1,86.0,3.5,1.0,C ,53,23,22,82,15
04-03-2019,28.0,82.0,34.5,2.0,C ,55,22,32,104,22
05-03-2019,27.5,82.0,75.6,1.0,C ,47,21,28,83,22
06-03-2019,25.7,88.0,90.5,1.0,C ,54,21,25,60,19
07-03-2019,27.2,78.0,5.4,1.0,C ,55,24,39,112,17
08-03-2019,28.6,79.0,0.0,2.0,C ,78,25,41,155,27
09-03-2019,27.5,81.0,22.0,2.0,C ,67,35,29,215,27
10-03-2019,28.4,77.0,0.0,1.0,C ,60,26,23,164,19
11-03-2019,28.1,78.0,0.4,2.0,C ,55,23,20,55,18
12-03-2019,27.1,84.0,4.1,2.0,C ,41,20,20,51,12
13-03-2019,28.0,79.0,6.8,1.0,C ,50,27,28,122,22
14-03-2019,27.9,73.0,28.0,1.0,C ,58,26,52,162,36
15-03-2019,28.7,78.0,0.0,2.0,C ,71,29,29,132,35
16-03-2019,28.6,74.0,0.5,2.0,C ,60,26,43,128,15
17-03-2019,27.8,78.0,0.0,2.0,C ,51,21,18,82,9
18-03-2019,28.0,76.0,7.8,1.0,C ,52,21,18,65,10
19-03-2019,27.7,78.0,2.8,2.0,W ,38,20,18,68,6
20-03-2019,28.3,77.0,0.0,3.0,SW,38,20,16,65,12
21-03-2019,28.4,76.0,0.0,2.0,C ,58,21,21,74,10
22-03-2019,29.2,74.0,0.0,2.0,C ,55,20,24,58,12
23-03-2019,29.2,76.0,3.2,2.0,C ,40,20,15,75,15
24-03-2019,29.1,74.0,1.2,2.0,W ,36,20,9,55,4
25-03-2019,27.7,80.0,0.0,1.0,C ,40,20,14,42,7
26-03-2019,28.8,79.0,5.0,2.0,C ,71,21,36,89,16
27-03-2019,28.2,82.0,10.5,1.0,C ,57,22,25,192,15
28-03-2019,29.4,74.0,17.0,2.0,C ,56,21,36,130,18
29-03-2019,28.7,77.0,1.0,2.0,C ,62,24,34,182,20
30-03-2019,28.7,79.0,5.0,1.0,C ,62,24,25,190,16
31-03-2019,28.5,78.0,0.6,1.0,C ,62,23,35,194,18
