Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-06-2019,29.4,72.0,0.0,1.0,C ,63,23,19,104,15
02-06-2019,29.5,74.0,0.0,2.0,C ,70,23,23,106,14
03-06-2019,28.6,71.0,0.0,1.0,C ,55,23,18,89,10
04-06-2019,29.6,71.0,0.0,2.0,E ,75,24,20,82,11
05-06-2019,29.5,74.0,0.0,1.0,C ,82,25,26,65,13
06-06-2019,30.0,75.0,0.0,2.0,E ,51,23,11,75,9
07-06-2019,29.3,73.0,0.0,1.0,C ,51,24,11,54,8
08-06-2019,29.1,79.0,18.1,2.0,C ,50,22,13,105,9
09-06-2019,29.1,76.0,0.0,1.0,C ,51,23,18,98,15
10-06-2019,29.1,70.0,0.0,1.0,C ,57,23,20,88,16
11-06-2019,29.7,74.0,0.0,1.0,C ,57,24,22,105,22
12-06-2019,29.7,74.0,0.0,1.0,C ,68,24,22,108,18
13-06-2019,29.8,75.0,0.0,1.0,C ,79,24,25,148,21
14-06-2019,28.6,78.0,0.0,1.0,C ,73,25,21,98,16
15-06-2019,29.2,77.0,5.0,1.0,C ,57,24,27,112,24
16-06-2019,29.5,74.0,0.0,2.0,C ,66,24,24,107,17
17-06-2019,29.3,72.0,0.0,1.0,C ,75,25,24,93,14
18-06-2019,28.8,70.0,0.0,1.0,C ,69,27,20,74,12
19-06-2019,29.5,72.0,0.0,1.0,C ,80,27,19,92,16
20-06-2019,29.6,66.0,0.0,1.0,C ,87,25,34,99,17
21-06-2019,28.6,72.0,0.0,1.0,C ,79,27,23,103,13
22-06-2019,28.5,71.0,0.0,1.0,C ,80,28,19,133,15
23-06-2019,28.9,72.0,0.0,2.0,C ,72,26,20,134,17
24-06-2019,29.2,69.0,0.0,1.0,C ,79,27,20,103,13
25-06-2019,29.1,67.0,0.0,2.0,C ,89,26,25,89,14
26-06-2019,29.1,67.0,0.0,1.0,C ,84,27,21,80,15
27-06-2019,28.4,72.0,0.0,1.0,C ,81,26,25,142,17
28-06-2019,29.1,69.0,0.0,1.0,C ,69,29,28,143,21
29-06-2019,28.7,66.0,0.0,1.0,C ,69,29,26,173,17
30-06-2019,28.8,65.0,0.0,1.0,C ,64,27,16,83,12
