Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-09-2019,28.1,72.0,0.0,1.0,C ,74,22,26,109,10
02-09-2019,28.3,73.0,0.0,2.0,C ,71,20,24,187,16
03-09-2019,29.0,71.0,0.0,1.0,C ,73,31,20,141,20
04-09-2019,28.8,71.0,0.0,2.0,C ,78,30,24,144,13
05-09-2019,28.8,72.0,0.0,2.0,C ,75,30,26,113,12
06-09-2019,28.0,70.0,0.0,1.0,C ,74,30,23,127,15
07-09-2019,28.5,69.0,0.0,1.0,C ,73,30,26,127,15
08-09-2019,28.9,65.0,0.0,1.0,C ,65,31,20,126,11
09-09-2019,28.5,70.0,0.0,1.0,C ,67,29,20,106,14
10-09-2019,29.8,57.0,0.0,2.0,C ,70,30,21,91,13
11-09-2019,28.6,66.0,0.0,1.0,C ,75,32,25,160,16
12-09-2019,28.4,62.0,0.0,1.0,C ,78,30,25,143,18
13-09-2019,28.2,64.0,0.0,1.0,C ,84,33,23,156,18
14-09-2019,27.0,67.0,0.0,1.0,C ,76,32,21,156,15
15-09-2019,27.9,70.0,0.0,1.0,C ,74,31,22,99,14
16-09-2019,28.9,68.0,0.0,1.0,C ,67,30,24,74,10
17-09-2019,29.5,67.0,0.0,2.0,C ,66,32,21,77,14
18-09-2019,28.4,78.0,0.0,2.0,C ,71,32,22,132,16
19-09-2019,29.6,71.0,0.0,2.0,C ,70,32,25,107,12
20-09-2019,28.9,67.0,0.0,1.0,C ,66,31,19,91,13
21-09-2019,29.1,64.0,0.0,1.0,C ,63,34,16,169,14
22-09-2019,28.5,70.0,0.0,1.0,C ,78,32,16,153,12
23-09-2019,29.0,70.0,0.0,2.0,E ,70,33,18,87,12
24-09-2019,29.7,66.0,0.0,1.0,C ,73,32,18,112,12
25-09-2019,28.8,72.0,0.0,2.0,C ,78,26,24,174,17
26-09-2019,29.9,70.0,0.0,1.0,C ,74,31,21,110,14
27-09-2019,29.9,68.0,0.0,2.0,C ,72,31,23,131,16
28-09-2019,29.4,71.0,0.0,1.0,C ,63,33,18,102,10
29-09-2019,29.1,72.0,0.0,1.0,C ,75,31,19,115,14
30-09-2019,29.6,67.0,0.0,1.0,C ,71,31,18,146,14
