Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-11-2019,28.3,75.0,0.0,2.0,C ,55,34,16,120,14
02-11-2019,28.9,68.0,1.0,1.0,C ,59,32,17,87,13
03-11-2019,29.1,70.0,0.2,1.0,C ,58,34,14,92,12
04-11-2019,29.6,68.0,0.0,2.0,C ,57,34,16,137,12
05-11-2019,29.7,69.0,1.6,1.0,C ,70,34,19,193,17
06-11-2019,29.2,74.0,33.0,2.0,C ,65,33,27,156,17
07-11-2019,28.7,69.0,0.0,1.0,C ,68,35,24,209,21
08-11-2019,28.8,68.0,0.0,2.0,C ,85,35,26,150,24
09-11-2019,29.8,65.0,0.0,2.0,C ,81,38,17,220,16
10-11-2019,29.4,72.0,0.0,1.0,C ,80,35,16,183,20
11-11-2019,30.1,63.0,0.0,1.0,C ,70,36,13,162,18
12-11-2019,29.9,71.0,0.0,1.0,C ,71,22,22,134,16
13-11-2019,30.1,70.0,0.0,1.0,C ,80,35,34,125,20
14-11-2019,28.5,77.0,0.0,1.0,C ,76,34,32,60,15
15-11-2019,29.9,70.0,1.0,2.0,C ,73,37,33,94,11
16-11-2019,30.4,66.0,0.0,1.0,C ,66,36,20,81,12
17-11-2019,30.3,62.0,0.0,1.0,C ,63,35,20,126,14
18-11-2019,29.7,71.0,0.0,1.0,C ,69,35,17,165,22
19-11-2019,29.7,70.0,0.0,1.0,C ,72,35,21,100,17
20-11-2019,29.8,70.0,0.0,2.0,C ,53,21,18,134,15
21-11-2019,28.8,77.0,0.0,2.0,C ,72,36,21,103,14
22-11-2019,29.6,74.0,0.0,1.0,C ,60,35,27,112,17
23-11-2019,29.8,73.0,0.0,1.0,C ,85,36,34,146,19
24-11-2019,29.9,71.0,0.0,1.0,C ,68,37,27,167,13
25-11-2019,29.4,77.0,1.6,1.0,C ,67,36,23,160,18
26-11-2019,29.9,76.0,0.0,1.0,C ,81,35,30,125,15
27-11-2019,30.1,73.0,0.0,2.0,C ,70,34,38,101,12
28-11-2019,30.2,74.0,0.0,2.0,C ,71,36,28,106,14
29-11-2019,29.7,73.0,1.8,1.0,C ,63,35,25,124,11
30-11-2019,29.2,74.0,9.9,1.0,C ,56,34,26,111,13
