Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2,critical
01-01-2021,27.0,80.0,13.8,1.0,C ,38,29,6,31,13,PM10
02-01-2021,27.6,78.0,0.0,2.0,C ,27,27,7,47,7,O3
04-01-2021,28.8,75.0,9.4,2.0,C ,30,24,4,32,7,O3
05-01-2021,28.4,76.0,0.0,1.0,C ,38,24,6,31,9,PM10
06-01-2021,27.2,85.0,8.2,1.0,C ,41,23,13,46,13,O3
07-01-2021,26.8,84.0,40.5,1.0,C ,35,22,6,39,10,O3
08-01-2021,27.1,85.0,2.0,2.0,C ,37,26,16,17,10,PM10
09-01-2021,26.4,87.0,14.4,1.0,C ,47,16,27,22,12,PM10
10-01-2021,27.1,82.0,34.3,1.0,C ,23,16,11,33,8,O3
13-01-2021,27.2,83.0,13.2,2.0,C ,34,17,13,20,9,PM10
14-01-2021,27.4,81.0,0.2,2.0,C ,36,15,15,26,13,PM10
15-01-2021,27.9,79.0,0.0,2.0,C ,42,14,15,32,12,PM10
17-01-2021,27.9,82.0,0.0,2.0,NW,52,17,15,26,14,PM10
18-01-2021,26.8,86.0,1.8,2.0,C ,40,16,11,26,12,PM10
19-01-2021,26.7,82.0,15.7,2.0,C ,31,13,12,25,12,PM10
20-01-2021,27.3,80.0,14.0,3.0,C ,35,12,12,22,13,PM10
21-01-2021,26.6,87.0,3.2,1.0,C ,43,13,14,28,15,PM10
22-01-2021,27.0,79.0,8.5,1.0,C ,49,14,14,28,15,PM10
23-01-2021,27.4,82.0,0.0,2.0,C ,72,14,43,44,20,PM10
24-01-2021,25.1,94.0,16.5,1.0,C ,33,12,14,23,10,PM10
25-01-2021,27.6,80.0,43.8,1.0,C ,56,13,29,62,15,O3
26-01-2021,27.4,83.0,0.0,2.0,C ,52,14,19,28,13,PM10
27-01-2021,25.9,86.0,7.0,2.0,W ,20,13,10,19,8,PM10
28-01-2021,25.7,87.0,1.2,2.0,C ,27,14,18,17,11,PM10
29-01-2021,26.2,87.0,38.4,1.0,C ,30,16,17,24,11,PM10
30-01-2021,26.6,86.0,26.2,2.0,C ,27,13,16,24,12,PM10
31-01-2021,26.6,87.0,20.5,1.0,C ,36,13,16,26,10,PM10
