Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2,critical
01-02-2021,27.1,82.0,0.4,2.0,C ,59,21,26,15,31,PM10
02-02-2021,27.4,83.0,16.4,2.0,C ,30,21,14,16,24,PM10
03-02-2021,26.5,89.0,76.2,1.0,C ,23,19,11,14,19,PM10
04-02-2021,26.5,87.0,18.0,3.0,C ,36,23,14,12,24,PM10
05-02-2021,27.0,85.0,21.0,3.0,NW,29,20,14,12,21,PM10
06-02-2021,28.2,80.0,39.4,2.0,NW,27,21,8,21,15,PM10
07-02-2021,27.8,82.0,67.8,3.0,C ,25,19,7,19,12,PM10
08-02-2021,28.0,83.0,9.0,2.0,C ,24,19,10,18,17,PM10
09-02-2021,27.2,87.0,16.5,1.0,C ,33,22,12,14,22,PM10
10-02-2021,28.1,80.0,1.4,2.0,C ,32,21,10,12,16,PM10
11-02-2021,27.6,81.0,0.0,2.0,C ,26,23,13,9,17,PM10
12-02-2021,27.4,82.0,4.2,2.0,NW,41,26,16,10,16,PM10
13-02-2021,27.9,79.0,0.8,2.0,C ,25,20,9,19,16,PM10
14-02-2021,27.3,88.0,22.3,1.0,C ,33,18,11,19,19,PM10
15-02-2021,27.4,86.0,11.8,2.0,C ,34,20,13,17,25,PM10
16-02-2021,25.5,95.0,59.0,1.0,C ,26,18,11,18,26,PM10
17-02-2021,26.0,85.0,72.8,1.0,C ,39,23,23,12,33,PM10
18-02-2021,25.8,86.0,0.0,2.0,C ,43,29,13,12,29,PM10
19-02-2021,26.6,82.0,94.1,2.0,C ,29,19,20,12,23,PM10
20-02-2021,27.9,78.0,27.0,3.0,NW,30,18,11,18,20,PM10
21-02-2021,27.2,82.0,16.4,2.0,C ,31,18,10,16,17,PM10
22-02-2021,27.9,78.0,0.0,2.0,NW,51,20,18,11,23,PM10
23-02-2021,27.9,80.0,0.0,3.0,C ,50,22,11,20,23,PM10
24-02-2021,27.3,77.0,0.3,2.0,C ,30,22,10,9,16,PM10
25-02-2021,27.3,85.0,11.8,3.0,NW,31,26,12,14,17,PM10
26-02-2021,26.8,86.0,13.9,1.0,C ,29,18,13,18,20,PM10
27-02-2021,28.1,82.0,3.9,1.0,C ,49,23,15,17,31,PM10
