Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2,critical
01-03-2021,29.3,72.0,0.2,3.0,C ,37,20,12,12,17,PM10
02-03-2021,27.3,82.0,20.4,1.0,C ,38,20,15,14,28,PM10
03-03-2021,27.7,82.0,35.2,1.0,C ,49,19,21,17,35,PM10
04-03-2021,28.3,78.0,1.3,1.0,C ,51,22,18,19,31,PM10
05-03-2021,27.4,82.0,3.2,2.0,C ,52,20,16,16,30,PM10
06-03-2021,26.8,86.0,0.6,1.0,C ,51,20,22,15,37,PM10
07-03-2021,27.1,85.0,67.2,2.0,C ,57,23,23,19,31,PM10
08-03-2021,27.0,80.0,2.0,2.0,W ,47,21,16,11,19,PM10
09-03-2021,27.3,80.0,3.4,1.0,C ,36,23,15,10,22,PM10
10-03-2021,27.4,83.0,40.6,2.0,C ,45,20,20,14,27,PM10
11-03-2021,26.0,82.0,35.1,1.0,C ,27,19,9,15,21,PM10
12-03-2021,27.4,83.0,1.0,2.0,C ,44,24,12,13,25,PM10
13-03-2021,28.7,74.0,0.1,2.0,C ,37,27,13,13,25,PM10
14-03-2021,26.9,79.0,2.6,1.0,C ,39,23,14,10,19,PM10
15-03-2021,27.6,84.0,5.2,1.0,C ,45,29,18,13,34,PM10
17-03-2021,28.1,76.0,13.6,2.0,C ,59,25,19,20,45,PM10
18-03-2021,29.0,74.0,0.0,1.0,C ,64,30,15,25,40,PM10
19-03-2021,28.9,76.0,0.0,2.0,C ,60,29,14,24,35,PM10
21-03-2021,28.4,79.0,4.0,2.0,NW,43,21,11,18,17,PM10
23-03-2021,29.1,75.0,0.0,2.0,C ,37,23,11,12,16,PM10
26-03-2021,28.8,76.0,0.0,2.0,C ,50,23,19,19,28,PM10
27-03-2021,28.3,82.0,0.0,2.0,C ,53,29,13,18,33,PM10
28-03-2021,28.8,79.0,4.5,1.0,C ,54,20,15,31,31,PM10
30-03-2021,27.8,86.0,3.5,1.0,C ,53,24,15,14,30,PM10
31-03-2021,28.5,79.0,0.6,2.0,C ,43,22,13,15,23,PM10
