Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-01-2010,28.7,75.0,0.0,4.0,W ,60.0,4.0,73.0,27.0,14.0
02-01-2010,28.7,73.0,6.6,2.0,NW,32.0,2.0,16.0,33.0,9.0
03-01-2010,28.8,72.0,0.0,3.0,NE,27.0,2.0,19.0,20.0,9.0
04-01-2010,29.9,70.0,0.0,2.0,SE,22.0,2.0,16.0,15.0,6.0
05-01-2010,28.5,70.0,0.4,3.0,E ,25.0,2.0,17.0,15.0,8.0
06-01-2010,28.6,74.0,0.0,3.0,NE,30.0,3.0,22.0,19.0,11.0
07-01-2010,28.1,76.0,12.7,3.0,NE,41.0,4.0,24.0,27.0,13.0
08-01-2010,26.9,85.0,0.5,2.0,N ,64.0,8.0,51.0,19.0,15.0
09-01-2010,27.4,80.0,28.0,3.0,NW,55.0,5.0,39.0,23.0,16.0
10-01-2010,26.4,86.0,0.0,3.0,SE,34.0,5.0,23.0,26.0,12.0
11-01-2010,27.7,84.0,19.6,3.0,S ,55.0,10.0,32.0,23.0,16.0
12-01-2010,26.5,82.0,0.9,2.0,W ,45.0,4.0,33.0,9.0,17.0
13-01-2010,26.7,82.0,6.0,2.0,NW,28.0,5.0,29.0,10.0,12.0
14-01-2010,26.2,80.0,20.3,3.0,W ,38.0,6.0,28.0,15.0,10.0
15-01-2010,25.3,84.0,11.6,2.0,W ,35.0,5.0,33.0,17.0,17.0
16-01-2010,25.1,94.0,49.8,3.0,SE,54.0,5.0,38.0,17.0,18.0
17-01-2010,25.5,94.0,22.3,2.0,W ,44.0,4.0,28.0,22.0,14.0
18-01-2010,26.5,82.0,73.9,2.0,E ,38.0,4.0,29.0,24.0,15.0
19-01-2010,26.0,88.0,7.3,2.0,N ,40.0,3.0,43.0,23.0,23.0
20-01-2010,26.6,86.0,3.4,2.0,NE,61.0,5.0,63.0,16.0,17.0
21-01-2010,28.1,78.0,25.3,2.0,W ,36.0,4.0,27.0,23.0,13.0
22-01-2010,26.1,84.0,0.0,2.0,W ,51.0,4.0,45.0,14.0,13.0
23-01-2010,28.2,78.0,9.2,3.0,E ,35.0,3.0,30.0,20.0,14.0
24-01-2010,28.9,73.0,0.0,2.0,NW,56.0,6.0,46.0,30.0,14.0
25-01-2010,27.8,80.0,19.9,3.0,NW,59.0,4.0,38.0,18.0,15.0
26-01-2010,26.2,86.0,5.8,3.0,SW,43.0,5.0,42.0,19.0,24.0
27-01-2010,27.8,81.0,0.0,2.0,W ,54.0,8.0,38.0,40.0,16.0
28-01-2010,28.4,78.0,0.0,3.0,W ,72.0,8.0,55.0,20.0,17.0
29-01-2010,28.8,76.0,3.0,2.0,SW,51.0,8.0,24.0,19.0,11.0
30-01-2010,27.8,77.0,13.1,2.0,NW,47.0,8.0,32.0,19.0,12.0
31-01-2010,26.8,84.0,37.4,3.0,SW,32.0,5.0,25.0,26.0,10.0
01-02-2010,27.1,86.0,9.3,3.0,E ,41.0,7.0,30.0,17.0,13.0
02-02-2010,27.1,83.0,0.0,2.0,E ,50.0,4.0,30.0,23.0,12.0
03-02-2010,28.3,77.0,11.8,3.0,E ,49.0,7.0,33.0,57.0,23.0
04-02-2010,27.8,82.0,1.3,2.0,W ,59.0,9.0,38.0,75.0,26.0
05-02-2010,28.2,78.0,2.8,3.0,NW,63.0,7.0,39.0,41.0,23.0
06-02-2010,27.2,84.0,0.2,2.0,W ,65.0,8.0,59.0,24.0,15.0
07-02-2010,28.7,78.0,2.7,2.0,E ,60.0,10.0,45.0,47.0,17.0
08-02-2010,28.7,78.0,0.0,3.0,E ,46.0,5.0,31.0,42.0,17.0
09-02-2010,29.4,76.0,0.0,3.0,E ,52.0,7.0,30.0,34.0,16.0
10-02-2010,29.5,73.0,0.0,3.0,SE,50.0,8.0,31.0,39.0,14.0
11-02-2010,29.3,72.0,0.0,3.0,NW,47.0,5.0,27.0,26.0,14.0
12-02-2010,28.6,80.0,37.1,3.0,W ,56.0,6.0,33.0,45.0,20.0
13-02-2010,25.6,93.0,40.4,3.0,SE,55.0,6.0,39.0,14.0,14.0
14-02-2010,27.4,81.0,1.4,2.0,SE,55.0,6.0,61.0,16.0,13.0
15-02-2010,28.0,79.0,0.0,2.0,SE,40.0,4.0,30.0,63.0,22.0
16-02-2010,27.9,82.0,4.0,2.0,E ,56.0,4.0,43.0,25.0,20.0
17-02-2010,28.1,81.0,3.0,3.0,W ,52.0,4.0,34.0,30.0,17.0
18-02-2010,27.5,86.0,68.0,3.0,NW,41.0,5.0,26.0,14.0,10.0
19-02-2010,26.7,88.0,2.8,3.0,NW,37.0,4.0,43.0,17.0,17.0
20-02-2010,26.5,86.0,1.9,3.0,E ,52.0,3.0,64.0,18.0,12.0
21-02-2010,28.6,80.0,8.8,2.0,SE,61.0,4.0,53.0,36.0,15.0
22-02-2010,27.9,82.0,1.2,3.0,NW,34.0,4.0,31.0,23.0,16.0
23-02-2010,28.9,77.0,0.0,3.0,N ,57.0,7.0,35.0,42.0,18.0
24-02-2010,28.0,85.0,15.6,3.0,W ,59.0,4.0,44.0,93.0,24.0
